V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q68,Q22,Q74_1,Q63,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q21,Q24,Q26,Q27,Q28,Q75_1,Q75_2,Q75_6,Q75_7,Q75_12,Q75_13,Q75_15,Q75_17,Q75_22,Q75_24,Q75_30,Q75_34,Q75_35,Q75_36,Q75_37,Q89,Q70_1,Q70_2,Q70_3,Q70_4,Q95_1,Q95_2,Q95_3,Q95_4,Q95_5,Q95_6,Q95_7,Q95_8,Q95_9,Q95_10,Q95_11,Q95_12,Q95_13,Q95_14,Q95_15,Q96_1,Q96_2,Q96_3,Q96_4,Q96_5,Q96_6,Q96_7,Q96_8,Q96_9,Q96_10,Q96_11,Q96_13,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Q60_6,Q60_7,Q60_8,Q60_9,Q60_10,Q60_11,Q60_12,Q215_1,Q215_2,Q215_3,Q215_4,Q215_5,Q215_6,Q23_1,Q23_2,Q23_3,Q23_4,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Q60_6,Q65,Q67,Q69,Q75,Q71,Q72,Q73,Q74,Q75,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1osWOvbfQJ6EdzK,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-12 11:36:31,2017-10-12 12:23:17,1,78,27348,1,63,1,4,5,5,2,4,5,4,5,4,4,3,4,5,4,5,3,4,4,3,5,4,2,1,4,4,5,5,3,5,3,4,5,4,3,4,6,5,3,4,3,5,5,5,2,5,4,6,5,5,4,1,3,3,4,4,7,7,4,4,6,3,5,4,5,4,5,5,4,4,6,6,5,6,5,4,4,4,3,4,4,1,5,3,2,3,3,4,4,3,5,4,5,4,4,3,6,5,2,2,4,3,3,3,3,4,6,6,3,5,5,2,17,South Asian,Psychology,4,2,2,3,1,49.264007568359,-122.93690490723,-1,
R_2dSIXE7GFfk4y1G,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-12 11:27:16,2017-10-12 12:30:32,1,77,18992,1,10,1,4,5,6,3,6,2,3,5,2,6,4,3,2,3,5,3,2,5,3,2,6,3,2,5,3,2,5,5,5,2,6,7,7,1,1,5,6,6,5,3,3,3,3,6,6,3,5,4,5,5,1,2,4,3,4,7,5,6,6,6,7,5,6,5,6,4,6,3,5,6,6,6,7,5,4,3,2,3,3,3,1,6,4,4,5,5,5,5,5,4,3,2,3,4,5,6,3,4,3,4,4,4,3,2,5,2,2,3,5,5,1,21,Asian,Criminology,7,3,2,2,3,49.264007568359,-122.93690490723,-1,
R_PSXy03QMkwWtldv,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-12 12:24:37,2017-10-12 12:42:45,1,79,45953,1,90,1,6,4,4,2,5,2,5,3,2,4,4,3,3,2,5,2,2,4,2,4,4,2,2,4,1,2,4,1,3,1,5,6,5,3,1,5,5,5,3,5,3,5,4,4,6,3,4,5,3,5,1,3,4,4,4,3,7,6,3,3,4,6,5,3,4,4,5,3,3,3,5,5,5,5,4,4,4,4,5,4,2,5,3,3,4,3,4,4,5,5,4,5,5,5,4,6,4,6,2,4,4,4,3,2,6,3,2,2,3,3,2,19,european,biological sciences,12,8,8,8,4,49.264007568359,-122.93690490723,-1,
R_3O1wQHw74ABnv01,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-12 12:44:08,2017-10-12 13:56:53,1,80,32809,1,77,1,7,6,1,3,2,3,5,1,4,4,1,4,3,1,4,4,4,1,4,1,4,1,1,1,1,3,4,2,3,1,5,5,5,2,1,2,1,1,2,1,4,1,2,1,4,1,4,1,2,2,1,2,3,2,3,5,6,4,5,4,4,4,4,4,4,4,4,2,2,2,5,2,4,3,4,3,4,1,4,5,1,2,3,5,5,3,4,4,5,2,3,3,3,3,4,5,4,4,4,4,4,4,3,3,5,4,4,2,4,3,2,18,Filipino,Criminology,6,2,2,2,1,49.264007568359,-122.93690490723,-1,
R_3KrXpuZZjMC0wYa,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-16 10:24:01,2017-10-16 11:04:38,1,81,57298,1,38,1,5,7,7,2,4,2,2,6,2,6,4,2,2,2,5,1,4,2,2,4,2,4,4,3,2,2,4,6,5,1,5,6,7,5,1,4,6,4,4,2,5,6,2,4,6,5,6,6,4,4,1,1,4,3,4,6,7,5,4,6,6,6,6,5,4,5,4,4,4,6,5,6,6,5,4,7,4,4,6,6,7,4,3,4,3,3,3,2,1,4,5,5,5,5,5,7,6,4,2,4,3,3,2,2,6,4,4,4,6,6,2,19,Sikh,Biological Sciences,1,8,8,8,4,49.264007568359,-122.93690490723,-1,
R_1LSw5xJvh0oDDfG,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-16 10:26:39,2017-10-16 11:28:06,1,82,90428,1,50,1,6,6,4,1,4,5,5,2,2,6,2,2,3,4,5,5,4,4,3,2,4,2,2,5,4,4,3,4,6,4,6,6,6,4,2,5,5,5,4,5,4,5,4,4,6,4,4,4,4,5,1,2,4,3,4,7,7,5,6,6,4,3,5,6,6,5,1,1,3,4,5,6,4,3,5,6,3,2,4,4,4,4,2,3,3,2,5,5,5,5,5,5,5,4,2,7,7,2,4,3,4,4,3,3,6,7,6,7,6,5,2,19,Asian,Psychology,4,2,3,4,1,49.264007568359,-122.93690490723,-1,
R_21bm2GBAfCNxWr7,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-16 11:05:52,2017-10-16 11:29:36,1,83,5191,1,30,1,5,4,5,4,4,3,2,5,2,2,3,1,1,5,7,4,3,5,4,3,5,1,5,4,2,2,5,5,2,3,6,4,6,3,3,5,1,4,2,4,3,5,5,5,6,5,5,6,5,6,1,2,4,4,4,7,7,7,6,7,7,6,7,7,2,3,6,2,6,7,7,7,7,6,5,6,2,2,4,7,5,7,5,5,5,5,5,5,1,4,5,5,5,5,5,7,6,4,4,4,4,4,3,4,5,5,1,2,4,4,2,18,Republic of Korea ,Psyhchology ,,8,8,8,3,49.264007568359,-122.93690490723,-1,
R_2b1TwhlNgsD9oDj,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-16 11:29:20,2017-10-16 11:44:24,1,84,64812,1,40,1,4,5,3,4,6,6,4,4,4,6,3,3,4,4,6,4,5,4,4,5,4,4,3,6,4,6,4,5,4,2,4,4,4,4,4,5,5,4,6,4,4,6,6,5,6,6,5,5,4,4,1,2,3,2,3,7,7,4,6,4,4,5,3,3,3,5,2,1,3,2,6,4,5,5,4,5,4,2,4,4,3,4,2,3,3,4,5,4,2,5,4,5,5,5,5,5,4,5,3,3,3,3,3,3,6,6,6,6,6,6,2,17,Chinese,Undecided,6,8,8,8,4,49.264007568359,-122.93690490723,-1,
R_1IoMeYiQhGVR6xf,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-16 11:30:55,2017-10-16 12:10:07,1,85,61806,1,61,1,6,6,5,3,7,2,4,4,1,5,1,4,2,1,6,2,5,2,6,4,6,2,1,3,3,2,4,4,6,1,7,6,6,3,1,6,5,3,1,2,5,2,3,5,4,4,4,4,3,6,1,3,4,4,5,7,6,6,4,7,6,7,7,5,5,5,5,2,5,5,2,6,3,5,4,5,4,2,5,5,3,5,4,4,5,3,5,4,5,3,3,4,4,3,6,6,6,6,5,4,4,3,2,4,5,3,2,1,3,3,2,19,Filipino,Health Sciences,6,4,3,3,1,49.264007568359,-122.93690490723,-1,
R_3RdO87oJgQwLWVq,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-16 11:45:59,2017-10-16 12:21:09,1,86,69849,1,75,1,3,5,2,6,6,7,5,4,3,7,2,4,3,2,5,3,4,2,3,2,4,1,2,2,2,5,4,2,3,2,6,5,5,4,2,4,3,1,4,1,5,3,2,3,4,4,4,5,5,3,1,2,4,2,2,6,6,5,4,6,4,5,7,4,6,3,5,2,4,5,5,4,6,6,6,4,3,1,2,2,1,2,3,4,4,4,4,4,4,3,4,3,3,5,4,5,3,5,3,3,3,3,2,2,4,5,5,5,4,5,1,18,Asian,Computer Science,4,3,3,4,1,49.264007568359,-122.93690490723,-1,
R_3NJ6yTFPcxpZtJD,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-16 12:11:17,2017-10-16 12:30:58,1,87,54530,1,50,1,5,6,5,3,5,2,3,3,5,3,2,4,1,1,6,3,2,3,3,3,5,2,2,7,6,2,6,6,5,3,5,4,5,3,2,7,6,3,6,3,6,6,6,6,7,5,6,6,2,6,1,4,4,5,4,7,6,6,5,6,5,7,5,5,5,6,5,2,5,3,6,6,5,6,5,3,3,2,5,6,2,6,5,3,4,5,4,5,5,4,4,4,4,5,2,5,2,6,2,4,3,3,3,3,7,6,2,2,5,3,2,18,"half caucasian, half chinese",Health Sciences,9,2,1,2,1,49.264007568359,-122.93690490723,-1,
R_1eLwwmpnaPQyvyi,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-16 12:31:49,2017-10-16 12:52:55,1,89,25048,1,40,1,6,4,2,6,4,6,5,2,3,5,2,2,2,2,6,4,5,2,3,3,4,2,4,5,4,2,5,2,4,5,6,5,5,2,2,6,5,4,4,4,3,5,6,4,4,5,5,5,6,6,1,4,4,4,4,7,6,6,6,5,5,5,1,4,5,4,6,6,6,7,5,5,3,5,4,4,3,5,5,5,2,4,4,5,4,4,4,4,2,5,5,5,4,5,2,5,4,5,5,4,3,3,3,3,5,5,4,3,5,3,1,20,Vietnamese,Molecular Biology and Biochemistry,5,2,2,2,1,49.264007568359,-122.93690490723,-1,
R_9ZhxCCgmSxKlsdz,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-16 12:22:17,2017-10-16 13:45:00,1,88,33403,1,65,1,6,7,5,2,4,2,3,5,1,6,4,4,4,2,6,2,3,5,3,4,3,3,2,5,4,2,6,5,5,2,6,7,7,2,1,5,6,4,5,2,6,5,6,5,7,6,6,6,5,3,1,2,4,4,5,7,6,6,3,5,4,5,6,5,4,3,3,1,2,6,5,5,5,6,5,4,4,1,4,5,3,3,2,3,5,2,4,4,4,4,4,5,4,5,3,6,4,6,4,4,4,4,3,3,6,5,6,3,3,6,2,19,Hispanic,Psychology,5,4,3,5,1,49.264007568359,-122.93690490723,-1,
R_2aW5MzSc75nDyZB,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-16 13:46:05,2017-10-16 14:11:02,1,90,26260,1,41,1,6,5,5,2,2,6,1,5,2,2,3,5,1,2,7,1,2,5,1,2,3,2,2,3,5,1,3,5,5,2,7,7,7,2,1,6,2,2,5,2,3,3,5,5,5,4,5,5,5,6,1,1,2,4,4,4,5,5,5,6,5,7,4,3,7,5,7,3,4,4,5,6,5,7,6,7,5,2,3,3,4,6,5,5,5,4,5,4,5,2,2,3,4,2,1,6,4,6,3,3,4,4,4,4,5,5,1,1,5,1,2,20,Persian,Criminology,3,2,3,2,1,49.264007568359,-122.93690490723,-1,
R_2xUXq8jZRnSL0zd,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-16 14:12:02,2017-10-16 14:28:06,1,91,83783,1,55,1,5,6,4,3,5,4,3,5,3,5,5,4,3,2,5,4,5,5,4,4,3,3,4,5,4,3,4,3,3,3,5,4,5,3,3,6,5,2,3,3,6,2,2,5,3,3,5,5,5,5,1,3,3,4,5,7,6,7,5,5,4,7,5,4,5,6,6,4,6,5,5,5,4,5,5,5,4,3,3,3,2,5,4,4,4,4,4,4,5,5,4,4,4,4,4,5,4,4,4,4,3,3,2,3,6,6,5,5,6,6,2,19,Chinese,Kinesiology,4,6,3,4,2,49.264007568359,-122.93690490723,-1,
R_3kHf9njiIuU6UxY,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-16 14:28:38,2017-10-16 15:35:35,1,92,98002,1,40,1,7,7,3,1,3,1,1,5,2,5,2,2,2,1,6,1,6,5,2,3,6,5,2,5,6,3,6,4,6,1,6,7,1,2,1,6,6,2,6,1,5,6,6,5,6,6,6,6,3,6,1,4,5,2,4,7,7,7,5,7,5,7,5,5,7,5,7,5,7,5,6,6,6,6,5,6,6,1,1,1,2,6,5,3,5,4,5,5,5,5,5,5,5,5,7,6,7,7,4,3,4,3,4,4,6,5,3,2,5,6,2,19,Chinese,Health Science,15,5,5,5,3,49.264007568359,-122.93690490723,-1,
R_24wpvCLUVIYWR31,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-16 15:40:27,2017-10-16 16:10:53,1,93,82827,1,60,1,7,7,3,2,6,1,3,6,1,7,3,3,2,1,6,2,1,5,1,6,5,2,1,3,5,1,5,2,4,1,6,7,7,2,1,7,3,4,3,2,6,3,2,6,5,2,5,6,5,5,1,2,3,5,5,7,3,5,3,7,7,7,7,7,7,5,2,2,3,5,6,5,2,7,6,7,4,1,2,1,1,5,3,5,5,5,5,4,5,2,2,2,2,4,5,6,3,3,1,4,4,4,3,3,5,3,2,1,2,3,2,17,caucasian,Psychology,10,2,1,3,1,49.264007568359,-122.93690490723,-1,
R_1n7nqdj2f3nO6SS,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-11 16:29:59,2017-10-11 16:43:50,0,71,46812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_5sZVayGl8KttFx7,Default Response Set,Anonymous,,,142.58.41.208,0,2017-10-11 16:57:41,2017-10-11 17:21:58,0,72,3758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3iUS2cONdlojWdV,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-11 18:26:36,2017-10-11 18:32:37,0,75,91190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1JXd9NdYU6ISJq8,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-19 10:49:57,2017-10-19 11:09:01,1,94,24671,1,30,1,3,6,2,3,4,2,2,4,2,5,1,4,1,1,5,2,4,2,2,2,5,2,1,2,3,2,4,2,3,1,6,7,6,2,1,5,5,3,2,2,5,3,4,6,5,5,5,5,3,4,1,2,4,4,4,7,4,6,4,6,5,7,5,6,6,4,6,2,5,4,5,5,6,5,3,5,2,3,4,2,2,5,4,2,4,3,4,4,3,3,4,3,3,4,6,5,4,6,3,4,3,3,3,4,5,3,4,2,5,2,2,19,caucasian ,Biology ,9,1,1,2,1,49.264007568359,-122.93690490723,-1,
R_3sglXRItQFQ3hWc,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-19 11:10:23,2017-10-19 11:48:10,1,95,88268,1,97,1,5,3,2,2,3,3,3,3,3,6,3,1,1,3,5,2,3,3,2,2,5,5,5,6,2,1,5,3,5,3,7,2,2,6,2,5,6,3,3,4,6,6,5,6,6,6,5,5,5,5,1,3,4,5,5,7,6,5,6,6,5,6,6,6,4,6,7,1,4,6,6,6,6,6,6,3,1,4,6,6,6,6,5,1,4,5,4,5,3,4,5,4,4,5,2,3,2,6,5,6,3,2,2,2,5,5,4,3,5,3,2,22,Taiwan,Management of Information Systems,2,4,5,2,1,49.264007568359,-122.93690490723,-1,
R_3fvDKDs7qC4Jt7j,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-19 11:48:53,2017-10-19 12:11:18,1,96,16403,1,44,1,5,5,2,2,3,1,3,2,1,5,5,4,3,2,6,4,4,6,2,5,3,2,2,2,3,2,5,3,4,2,5,6,6,3,2,4,3,3,3,2,3,2,3,3,3,3,5,5,2,3,1,2,3,5,3,7,7,6,3,5,3,5,6,6,5,6,4,2,4,3,5,6,6,6,3,5,6,4,2,3,2,3,2,3,4,4,4,4,4,5,3,4,4,5,3,5,5,6,3,3,4,3,3,3,5,3,2,3,4,5,2,17,Chinese,Health Sciences,1,3,3,4,1,49.264007568359,-122.93690490723,-1,
R_3PLceUSc9RPkWTD,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-19 12:12:17,2017-10-19 12:31:03,1,97,73449,1,40,1,6,5,3,5,3,4,6,5,2,6,1,1,4,2,3,4,5,3,4,3,4,5,2,5,1,3,5,5,6,4,7,5,6,5,1,5,6,2,3,2,3,6,6,6,5,7,4,5,4,4,1,2,4,4,5,7,6,7,5,6,2,5,7,5,4,5,5,1,5,4,5,4,5,5,3,5,2,2,4,5,1,4,3,4,5,4,4,4,4,2,3,3,3,3,5,2,5,6,2,7,4,3,3,2,5,3,6,4,6,5,2,18,Chinese,Psychology,3,2,2,3,4,49.264007568359,-122.93690490723,-1,
R_2rYPReHLRMb15hg,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-19 12:32:22,2017-10-19 12:56:23,1,98,44719,1,72,1,6,6,6,2,4,2,2,4,3,6,5,4,2,2,6,2,6,4,2,4,3,2,2,3,4,3,4,4,5,2,6,4,5,4,2,5,5,4,2,3,3,5,3,3,5,3,4,4,5,5,1,3,3,4,4,7,7,7,6,7,5,4,1,4,4,5,7,1,1,7,4,6,7,5,4,6,3,4,5,5,3,7,4,4,5,2,5,4,4,5,5,5,5,5,6,6,6,6,6,4,3,4,4,3,6,6,6,3,4,5,2,18,chinese,psychology,4,8,8,8,4,49.264007568359,-122.93690490723,-1,
R_XmGE5Uprhy9msDf,Default Response Set,Anonymous,,,142.58.41.208,0,2017-10-20 12:01:30,2017-10-20 12:47:22,1,99,62673,1,13,1,5,6,4,5,5,5,3,5,2,6,2,3,2,2,5,2,5,2,3,2,5,5,2,3,2,2,5,3,5,2,5,6,6,2,2,3,5,2,3,3,2,5,3,6,5,5,5,5,5,6,1,2,4,4,3,6,5,6,5,4,4,5,3,5,6,2,5,2,5,6,3,3,5,3,5,5,2,2,3,2,1,6,4,5,4,2,4,4,3,3,4,4,4,4,6,4,4,6,4,4,3,3,2,2,3,2,3,3,2,3,1,18,White,Computer Science,8,3,2,6,1,49.264007568359,-122.93690490723,-1,
R_1kMsHjMLGwzh03L,Default Response Set,Anonymous,,,142.58.41.208,0,2017-10-20 12:50:01,2017-10-20 13:16:59,1,100,67251,1,71,1,6,6,5,2,5,2,3,2,2,6,5,2,2,2,6,5,5,6,3,2,6,3,3,5,2,2,2,2,5,2,5,3,2,3,2,5,6,6,5,5,3,5,3,6,4,5,6,5,5,5,1,2,3,4,2,5,5,3,5,5,3,5,3,3,5,5,3,2,5,3,6,5,3,6,6,6,2,2,2,2,2,6,4,4,4,4,4,2,4,2,2,2,2,4,5,5,3,3,2,4,3,2,3,3,6,5,5,2,5,2,1,21,Chinese,Criminology,6,8,2,6,4,49.264007568359,-122.93690490723,-1,
R_sjT5y4RPbLpnoQx,Default Response Set,Anonymous,,,142.58.41.208,0,2017-10-20 13:17:46,2017-10-20 14:23:55,1,101,39177,1,25,1,6,7,2,3,4,1,1,1,1,6,2,5,1,1,7,4,4,5,2,1,7,6,2,4,3,1,4,1,5,1,5,7,6,2,1,7,7,6,3,5,3,5,5,5,7,5,5,4,3,5,1,1,2,4,5,7,7,6,6,7,6,7,7,7,7,5,4,1,5,7,6,5,5,7,7,7,7,1,2,2,1,7,2,5,5,5,5,5,5,3,3,3,3,4,6,7,2,5,4,7,4,4,4,4,7,6,5,2,5,1,1,19,White/Native American,English,5,2,1,2,3,49.264007568359,-122.93690490723,-1,
R_2YE6DnR3aKKZehk,Default Response Set,Anonymous,,,142.58.41.208,0,2017-10-20 14:25:01,2017-10-20 14:51:21,1,102,30786,1,50,1,4,5,4,5,3,4,4,3,4,4,4,4,4,3,2,4,5,4,4,4,4,3,3,2,4,6,4,4,4,3,5,5,4,4,2,4,5,4,5,4,4,5,6,3,6,6,4,3,3,6,1,3,4,3,4,6,7,4,3,5,5,5,3,4,4,3,4,2,2,5,7,6,6,6,3,5,2,2,4,3,1,5,3,3,3,3,4,3,4,4,4,5,5,5,5,5,5,5,3,3,3,3,2,3,6,6,5,5,4,5,2,18,chinese,criminology,,8,8,8,4,49.264007568359,-122.93690490723,-1,
R_XB4V4XD1WgseTlf,Default Response Set,Anonymous,,,142.58.41.208,0,2017-10-20 15:14:46,2017-10-20 15:31:56,1,103,52088,1,40,1,3,3,5,3,5,3,3,5,2,5,5,5,3,5,5,3,3,6,2,5,3,2,5,4,5,3,2,5,6,3,5,4,3,5,3,5,5,3,3,2,3,5,3,3,5,3,5,4,5,3,1,4,4,4,4,5,6,7,5,4,6,3,4,4,4,5,4,2,3,5,5,6,5,5,4,3,3,3,5,6,5,5,2,2,3,3,4,4,3,2,4,4,4,3,5,5,6,5,2,2,3,2,3,2,5,5,6,5,6,5,1,18,Southeast Asian,Biological Sciences,10,4,3,4,1,49.264007568359,-122.93690490723,-1,
R_3lMmv2olFI0Bs6O,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-23 10:23:29,2017-10-23 10:41:52,1,104,6725,1,50,1,4,5,2,5,4,2,5,4,4,4,3,3,3,3,2,3,3,2,4,4,5,2,2,5,3,5,3,4,5,5,5,5,4,5,3,4,6,1,5,4,2,2,4,5,5,5,3,7,5,3,1,4,5,3,4,5,7,4,4,4,7,7,4,6,4,6,4,1,1,1,5,6,5,6,5,5,4,4,5,6,4,5,5,3,3,5,5,4,3,3,4,5,5,3,1,7,4,5,1,1,3,4,3,3,6,7,5,5,7,5,2,18,Chinese,Psychology,2,5,5,3,2,49.264007568359,-122.93690490723,-1,
R_T8iOIFXGKOm042B,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-23 10:25:38,2017-10-23 11:12:29,1,105,66061,1,79,1,4,5,3,5,3,5,3,5,2,4,5,3,3,4,3,2,3,4,3,3,5,3,3,4,2,2,3,4,3,2,6,6,6,3,2,7,6,5,2,4,3,6,4,6,5,4,4,5,3,6,1,2,3,4,5,5,7,5,4,4,6,5,4,4,6,6,5,2,5,4,6,6,5,6,5,4,3,3,3,3,4,3,4,4,4,4,4,3,3,4,4,5,5,4,5,6,4,6,3,3,4,4,4,4,3,5,3,4,3,3,2,19,Caucasian,Kinesiology,15,2,2,3,3,49.264007568359,-122.93690490723,-1,
R_2EiRYTsd3Y3SVG8,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-23 10:42:36,2017-10-23 11:21:18,1,106,40540,1,60,1,7,7,1,1,5,7,1,5,7,7,5,7,2,1,7,3,7,7,5,7,7,7,1,5,7,7,7,1,7,1,7,7,7,7,2,5,3,4,2,2,6,6,2,5,4,3,5,1,5,4,1,1,2,3,4,7,3,2,5,2,5,5,5,3,4,3,6,4,4,6,5,2,7,4,4,6,7,4,1,3,3,5,,3,4,2,3,4,3,5,4,2,2,4,7,2,3,5,7,6,3,2,3,4,5,4,7,3,1,5,1,24,canadian,crim,1,1,1,1,1,49.264007568359,-122.93690490723,-1,
R_1CpArlinqnlpiEY,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-23 11:13:46,2017-10-23 13:37:18,1,107,67816,1,60,1,4,5,5,3,5,2,2,4,2,6,5,5,2,3,5,5,5,4,5,5,5,5,5,5,5,3,5,4,7,3,5,5,6,4,2,5,5,5,4,4,3,5,4,5,5,5,5,5,3,5,1,2,4,3,3,7,6,7,6,4,6,6,3,3,4,4,4,3,4,4,5,4,4,4,4,5,2,1,2,2,1,5,5,2,5,5,5,5,5,5,5,5,5,5,7,7,4,4,4,7,4,4,4,4,7,7,7,2,5,3,2,19,North Indian,Behavioural Neuroscience ,10,8,8,8,4,49.264007568359,-122.93690490723,-1,
R_xhYrCDx3U10hn0t,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-23 13:24:15,2017-10-23 14:44:33,1,109,71497,1,50,1,5,6,3,2,2,3,2,3,1,4,4,3,4,4,6,3,4,4,3,4,6,5,4,4,3,2,6,4,5,3,5,6,6,3,2,5,5,4,3,2,4,5,3,4,5,4,6,6,6,5,1,4,3,4,3,7,7,5,7,6,6,7,5,5,5,5,7,5,7,6,4,6,5,5,5,6,2,2,3,4,2,5,5,2,5,4,5,5,4,4,5,5,5,5,4,4,4,4,4,4,4,3,3,3,5,5,2,3,4,4,2,21,Chinese/Japanese,Business,6,2,2,8,1,49.264007568359,-122.93690490723,-1,
R_2RQWV8bmwgMOYGT,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-23 13:40:14,2017-10-23 14:47:59,1,108,39002,1,30,1,5,3,5,3,5,5,4,6,4,3,5,3,2,4,5,4,6,5,3,3,6,5,3,5,3,1,6,5,5,4,4,5,5,4,2,6,6,3,2,3,6,5,4,3,7,5,7,7,7,6,1,4,4,4,4,7,6,7,5,7,6,5,7,7,6,5,5,6,7,7,6,7,7,6,4,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,3,6,4,4,4,3,3,3,5,5,6,3,5,3,2,18,South Asian,Biology,8,8,8,8,3,49.264007568359,-122.93690490723,-1,
R_1QadGq6bf3Dvjhq,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-23 14:45:28,2017-10-23 15:20:38,1,110,65978,1,35,1,6,4,3,3,5,3,5,4,3,5,3,2,2,2,5,5,3,2,3,3,5,3,2,5,2,2,6,3,5,5,5,4,5,4,3,5,5,4,3,4,3,5,3,5,5,3,5,5,5,4,1,3,5,5,5,7,6,5,5,6,5,6,4,4,4,5,6,3,5,3,7,5,4,2,3,3,3,3,4,5,2,5,3,3,4,3,5,4,4,4,4,5,5,5,5,6,4,7,2,3,4,3,3,3,5,5,5,5,5,4,2,19,Fillipino,Transferring to a Psychology Major,8,4,4,4,4,49.264007568359,-122.93690490723,-1,
R_Zfq8UfeavBGo9Oh,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-23 14:49:14,2017-10-23 15:41:40,1,111,23295,1,60,1,5,6,6,5,5,3,4,6,2,5,4,4,5,4,6,3,5,4,1,4,5,5,5,5,4,5,4,5,4,4,5,6,2,4,1,5,4,5,4,4,4,5,3,6,5,3,5,4,6,4,1,4,3,2,4,6,7,5,5,4,6,3,4,6,5,6,4,2,4,4,5,5,5,5,5,5,2,3,5,4,3,4,3,4,5,3,5,4,5,5,4,5,5,3,4,5,4,5,2,4,4,3,4,3,6,4,7,1,5,6,2,18,Black/white,joint psyc/crim major,1,8,2,4,1,49.264007568359,-122.93690490723,-1,
R_7VSIq3AuQab0R0d,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-23 15:25:06,2017-10-23 15:46:48,1,112,16585,1,82,1,4,6,2,1,5,2,1,5,4,3,5,3,2,1,6,2,7,4,2,7,7,3,3,5,6,5,7,4,2,2,7,7,6,4,1,7,7,4,4,4,1,6,5,4,4,5,3,2,4,6,1,3,4,4,4,7,7,7,7,7,3,7,7,7,7,7,4,7,7,6,4,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,3,5,5,5,7,3,1,7,1,4,4,4,4,4,7,4,2,2,3,2,1,21,Indian,Health Science,9,4,4,4,4,49.264007568359,-122.93690490723,-1,
