,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,condition,Q22,happy,Q3,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8,reason9,reason10,reason11,reason12,Q63,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,tol1,tol2,tol3,tol4,tol5,tol6,tol7,tol8,tol9,redist1,redist2,redist3,redist4,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,emp21,gender,age,ethnicity,major,income,ideology,soc.iss,econ.iss,partyID
R_3OoWEAZiiy1tUP4,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2003 13:37,17/03/2003 14:15,1,54,1,1,83,1,1,1,2,1,3,2,3,4,4,4,3,3,1,6,6,2,4,5,3,5,3,1,6,4,5,1,2,5,4,5,5,2,5,5,3,2,5,5,2,4,4,5,1,5,6,7,6,3,1,3,5,6,3,4,3,3,4,3,2,4,4,4,4,5,3,4,5,4,1,4,4,5,5,2,2,2,4,1,19,Caucasian,Environmental Science,4,2,1,4,1
R_33ea0bIdaEnlRDJ,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2003 14:17,17/03/2003 14:50,1,55,2,1,40,1,4,3,4,3,3,3,3,3,3,3,3,3,1,6,4,4,5,5,4,4,4,2,5,4,4,5,3,4,4,4,4,3,5,5,4,4,3,4,5,4,3,5,3,5,5,5,5,4,3,3,3,4,3,3,2,2,4,2,2,3,4,4,3,4,3,3,2,4,2,3,4,4,4,3,4,3,4,2,21,Chinese,Psychology,7,8,8,8,4
R_1g58KRs47Valyn4,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2003 16:00,17/03/2003 16:08,1,56,1,1,80,1,1,1,2,2,4,3,2,3,5,4,4,4,1,5,4,2,5,6,2,2,4,2,6,2,4,3,1,6,4,1,4,3,2,4,2,1,3,1,1,4,1,2,1,5,6,6,5,3,2,4,3,5,4,3,3,2,4,2,4,3,4,4,5,4,4,2,1,4,4,2,5,4,4,2,2,4,2,2,23,Chinese,Business and Communications,5,2,2,2,1
R_RtBIJT683vHm8lX,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/2003 16:01,17/03/2003 16:28,1,57,1,1,50,1,1,2,5,1,4,5,3,4,5,5,5,5,1,7,7,5,3,5,2,2,7,1,5,1,2,2,1,6,2,6,1,7,3,7,3,4,5,2,1,5,4,4,1,7,7,5,6,4,2,2,2,6,4,4,2,2,5,2,3,4,4,3,4,4,3,4,2,5,3,3,3,4,4,2,4,2,4,2,20,Vietnamese,Linguistics,9,8,8,8,4
R_1GUGF55N3myZIDv,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2003 16:40,17/03/2003 16:51,1,58,1,1,89,1,2,1,3,1,5,5,5,5,4,5,3,5,1,7,6,6,2,6,2,1,6,1,6,5,4,1,1,7,1,2,3,1,3,7,3,1,3,3,1,6,5,2,1,6,6,7,6,1,1,1,1,7,4,3,3,4,5,1,1,2,5,5,4,5,2,1,2,3,1,4,5,5,5,1,5,4,5,2,18,Mexican/Salvadorean,Criminology ,11,4,4,3,1
R_1PTtSWsX6hYCWDT,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2003 17:05,17/03/2003 17:14,1,59,2,1,44,1,2,2,4,2,3,4,4,3,5,4,4,4,1,7,6,4,3,4,2,3,2,2,6,4,3,2,2,4,4,4,5,4,4,5,4,3,5,3,3,5,4,5,3,5,3,5,4,4,3,3,3,4,4,4,3,3,3,1,3,4,4,3,2,3,4,4,3,3,2,2,4,4,2,4,4,3,4,2,19,Central Asian,Health Science,5,3,3,5,4
R_R8lL1T3wyaU9LFL,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2003 18:19,17/03/2003 18:39,1,60,2,1,40,1,1,1,4,1,4,4,5,4,3,4,3,4,1,3,6,5,2,4,1,2,5,2,6,4,4,2,2,3,3,6,5,2,6,3,2,6,2,3,2,2,4,3,2,6,6,6,6,4,2,1,1,6,4,4,4,4,4,2,1,1,4,2,4,4,2,1,2,4,1,4,5,4,5,2,4,4,4,2,20,Chinese,Psychology,10,8,2,4,3
R_1eVFleiFmR6N9lI,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2006 15:49,17/03/2006 16:00,1,61,1,1,70,1,1,3,3,4,2,2,2,2,4,3,2,3,1,7,3,2,4,2,2,4,2,2,3,3,5,4,4,5,4,4,3,3,6,5,6,3,6,2,2,3,5,5,5,4,4,4,5,4,3,2,2,2,2,2,2,4,3,1,1,3,3,2,2,4,2,2,2,2,2,3,3,4,4,2,3,3,3,2,21,,psyc,3,6,6,6,2
R_BtaE7AtDLVvxYdP,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2006 16:20,17/03/2006 16:32,1,62,2,1,81,1,3,3,5,4,3,3,3,3,4,3,3,4,1,7,6,5,1,4,4,4,4,4,4,4,4,3,5,6,4,1,4,4,6,4,4,4,4,4,4,4,5,4,6,5,4,5,5,4,1,1,1,2,3,2,2,2,1,3,2,2,1,2,2,4,4,3,1,5,2,2,4,5,4,2,2,3,5,1,25,asian,econ,9,5,5,7,2
R_3fcReApDJi0QGws,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2006 16:49,17/03/2006 16:59,1,63,1,1,50,1,3,3,3,3,3,3,3,3,3,3,3,3,1,7,7,5,3,5,3,3,4,3,5,4,4,4,4,4,5,4,4,3,4,4,4,1,4,4,5,4,4,4,4,6,6,5,5,3,2,3,2,5,4,4,3,2,2,2,4,3,5,4,3,4,4,3,1,4,2,4,4,4,3,1,2,1,2,1,20,Korean,Computer Science,3,3,4,3,1
R_27pNEklo8qZd9Yk,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2006 17:11,17/03/2006 17:19,1,64,1,1,50,1,1,1,2,1,2,2,3,3,3,3,3,3,1,4,4,4,5,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,7,5,5,3,2,2,4,4,3,4,3,5,1,1,3,5,4,2,5,1,1,3,2,1,4,4,4,5,1,4,3,4,2,18,Afghan,Criminology,2,2,2,2,1
R_2QtzY4rTfqpWuTb,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2006 17:44,17/03/2006 17:54,1,65,1,1,70,1,1,1,2,2,4,2,2,1,2,2,3,3,1,6,4,3,2,1,3,4,4,6,6,2,4,4,2,3,6,2,2,5,2,2,5,2,5,1,7,4,3,7,2,6,6,6,6,2,2,2,2,5,3,3,2,2,4,1,1,2,5,5,5,5,1,1,2,5,1,3,5,5,5,3,5,4,5,2,18,caucasian,behavioural neuroscience,15,2,1,4,1
R_3CJCZfIC7hXquzI,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2009 9:43,17/03/2009 10:26,1,67,1,1,86,1,2,1,3,1,2,3,2,3,3,4,1,3,1,4,6,3,3,5,6,2,5,1,6,2,2,2,2,5,4,2,4,2,4,4,3,2,3,1,3,6,3,6,2,4,5,7,6,4,2,2,2,4,4,3,2,2,4,1,2,2,4,4,2,4,3,3,2,1,1,4,4,4,4,1,2,2,2,2,19,,Criminology,,2,2,2,4
R_cH2LxmFWGI0omvT,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2009 10:29,17/03/2009 10:48,1,68,1,1,60,1,2,2,2,1,3,2,2,3,3,2,3,2,1,5,6,3,3,3,4,4,2,1,6,,6,2,2,5,4,5,5,4,2,4,4,5,3,1,3,4,2,5,1,6,5,5,4,3,2,2,3,4,3,2,2,3,4,2,2,2,5,5,4,4,3,1,1,4,1,4,4,4,5,2,3,2,4,1,19,Mixed (eurasian),Undeclared (but probably psychology),15,2,2,2,1
R_0JIs6OWeNepoh33,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2009 10:51,17/03/2009 11:14,1,69,1,1,87,1,2,1,2,2,4,3,3,5,4,3,3,3,1,4,4,2,2,3,4,3,3,2,5,2,4,2,2,6,3,4,2,3,2,4,3,3,5,2,5,4,2,5,3,6,5,7,6,3,1,2,2,5,3,4,2,2,4,1,1,4,5,4,2,5,5,3,2,2,2,4,4,5,4,2,4,1,4,1,24,Filipino,Psychology,7,6,3,4,1
R_2wRel9TYfnKjswc,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2009 11:16,17/03/2009 12:21,1,70,2,1,60,1,1,1,1,1,5,4,4,5,3,4,4,4,1,3,4,2,3,5,2,2,4,1,4,4,6,2,3,6,4,5,3,2,4,4,2,2,3,4,3,5,3,4,2,6,6,6,6,3,2,2,2,5,4,4,4,4,4,2,1,3,5,4,4,5,3,2,1,4,1,2,4,5,4,3,5,3,5,2,18,Filipino,Psychology,9,8,8,8,4
R_VNZbQz5qzGAGjzr,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2009 12:40,17/03/2009 12:48,1,71,1,1,50,1,2,2,2,3,4,3,4,4,5,4,4,4,1,5,5,4,5,3,4,3,4,3,5,5,4,3,4,5,4,3,4,5,4,5,3,4,3,4,3,5,4,4,4,5,6,6,6,5,3,2,2,4,3,3,4,3,4,2,2,3,5,4,4,4,3,2,3,3,2,3,4,5,4,3,4,3,4,2,19,Chinese,Criminology,2,8,8,8,4
R_1ml5U24oLRDEh8y,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2009 13:45,17/03/2009 13:57,1,72,1,1,50,1,4,4,3,3,4,4,4,4,3,4,3,4,1,3,6,5,4,3,2,3,5,5,4,2,2,4,2,4,4,6,3,6,5,5,5,5,6,2,3,5,2,5,5,5,5,6,6,4,2,3,6,4,3,2,3,2,4,2,2,3,5,5,5,5,2,3,3,3,2,4,5,5,4,4,4,4,5,2,18,Chinese,Undeclared ,10,5,3,6,2
R_2aPr7rbdKPG2EuT,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2009 14:39,17/03/2009 14:47,1,73,1,1,50,1,2,3,3,5,5,4,4,5,5,4,3,4,1,3,3,4,3,4,6,3,1,2,5,1,4,2,4,6,3,4,1,3,4,5,1,4,3,2,5,6,5,7,4,6,5,4,6,6,1,1,1,4,3,4,4,3,4,2,3,3,5,4,3,4,2,2,3,4,2,3,4,5,2,3,3,3,4,2,20,korean,linguistic,4,8,8,4,3
R_30f2XjwtqGqYkTW,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/2009 14:58,17/03/2009 15:15,1,74,2,1,0,1,1,1,1,1,5,5,5,5,5,5,5,5,1,4,6,4,1,6,1,3,4,1,7,4,6,2,1,7,2,6,4,1,4,3,1,1,1,1,1,6,4,2,1,1,7,7,7,1,1,1,1,7,4,4,4,4,5,1,1,4,5,5,3,5,1,1,5,5,1,3,4,3,4,1,5,,4,2,18,Ghanaian,Psychology,4,1,1,1,4
R_AnxiGzNr82b3CZr,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2009 15:12,17/03/2009 15:30,1,75,1,1,50,1,4,5,4,4,3,3,3,3,2,3,4,3,1,5,4,6,3,3,2,6,5,5,4,2,2,3,5,2,6,1,5,6,6,5,2,4,6,5,3,6,5,3,5,6,4,3,3,5,3,5,4,5,3,2,3,2,3,2,2,2,4,3,4,5,5,3,4,4,3,4,3,5,3,1,3,3,4,2,22,Asian,Cognitive Science,1,8,4,5,4
R_3kpw7zA8qo7Kzhx,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2010 10:33,17/03/2010 11:22,1,76,2,1,45,1,1,1,4,2,3,3,2,4,4,4,4,4,1,5,6,4,3,4,2,4,4,3,5,2,3,3,5,5,2,3,4,3,5,4,4,4,4,5,2,4,4,5,2,6,6,6,6,5,1,1,1,6,4,3,3,3,4,2,2,2,4,4,3,4,4,3,2,4,3,4,4,3,4,2,3,2,4,2,19,canadian,criminology,15,2,2,2,1
R_2SdVz3ZGq5vXdba,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2010 11:24,17/03/2010 11:56,1,77,2,1,45,1,3,3,4,4,3,4,3,3,4,3,3,3,1,6,5,5,2,5,3,3,5,3,5,4,2,1,2,6,5,1,4,3,2,5,3,4,5,4,3,3,5,5,3,5,6,7,7,2,2,2,2,6,3,4,2,3,4,1,2,3,5,5,4,5,3,3,3,1,1,3,4,5,3,3,5,3,4,2,24,white,undeclared,3,2,2,3,1
R_1gAZkzlpAs4eAqz,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2010 12:00,17/03/2010 13:26,1,78,1,1,90,1,3,4,5,5,4,5,2,5,5,4,2,5,1,7,3,5,4,2,2,6,3,3,5,4,1,1,5,6,7,3,4,4,3,6,2,4,5,1,5,7,6,5,5,7,7,7,7,3,1,1,3,2,2,3,2,2,4,1,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,1,18,Indian,Cognitive Science ,5,2,3,6,1
R_1IlTyYhZEfyWi4r,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2010 13:28,17/03/2010 13:56,1,79,2,1,75,1,2,1,5,1,3,3,4,4,5,4,4,4,1,6,7,6,2,6,2,3,6,2,6,2,2,3,2,6,2,4,5,2,4,5,4,2,4,3,1,4,5,2,2,7,7,7,7,2,1,1,1,7,4,4,3,3,4,4,2,4,5,4,4,4,2,2,2,4,2,3,4,5,5,2,3,2,3,1,20,White,Biomedical Physiology,9,2,2,2,1
R_3CIQpDF0npa10IF,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2010 13:59,17/03/2010 14:19,1,80,2,1,53,1,1,1,1,1,5,5,5,5,5,5,5,5,1,5,6,5,2,6,1,1,2,1,7,1,1,1,1,7,2,4,2,1,3,5,1,1,1,1,1,5,1,1,1,7,7,7,7,1,1,1,1,7,4,4,3,4,4,2,1,3,5,5,2,5,4,1,1,4,1,4,4,5,5,2,4,2,5,2,21,Caucasian,Communications,1,2,2,2,1
R_OoP1x0e4FEpNECR,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2010 15:24,17/03/2010 16:13,1,81,2,1,50,1,2,2,2,2,4,4,4,5,5,4,4,4,1,6,6,4,2,6,5,3,4,2,5,2,4,1,2,7,2,2,7,4,3,6,3,2,2,1,1,4,5,6,2,6,7,7,7,2,1,1,1,5,3,4,3,4,4,4,1,4,,5,4,5,3,1,1,4,1,2,3,5,3,2,4,2,5,2,18,Polish,Psychology,7,2,2,2,1
R_1irPIEPxEg4LFm3,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2010 16:40,17/03/2010 16:49,1,82,2,1,70,1,2,3,4,3,4,4,4,5,5,4,4,4,1,4,5,5,3,4,3,3,1,1,5,1,4,3,3,5,2,3,1,2,1,4,1,4,5,2,3,4,4,4,2,5,5,3,5,4,5,2,3,4,3,3,4,3,3,2,2,2,3,2,2,3,4,4,1,2,2,3,4,1,2,2,1,3,4,1,20,,Physics,1,8,8,8,4
R_23WR5dNbJQYcfkQ,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2010 17:05,17/03/2010 17:18,1,83,2,1,25,1,2,1,3,1,5,4,4,3,4,5,3,5,1,7,5,5,1,5,1,4,3,2,5,6,2,2,2,5,4,5,4,4,5,5,3,3,2,2,2,6,1,6,3,7,6,7,6,1,1,2,3,4,4,4,2,2,3,1,3,5,5,5,4,4,1,2,4,4,2,4,2,4,5,4,1,3,5,1,17,Chinese,,5,3,4,2,2
R_2102YVNjZLiEBf3,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2010 17:41,17/03/2010 17:52,1,84,1,1,72,1,5,4,5,4,4,4,4,5,3,4,4,4,1,5,3,5,2,5,6,4,5,3,5,3,4,3,4,5,3,3,3,2,3,5,5,5,5,3,3,5,5,5,3,3,3,5,5,3,2,3,3,5,3,3,4,2,4,2,2,4,1,4,4,4,4,2,3,2,2,4,4,4,4,2,4,4,4,2,20,sikh,criminiology,7,3,3,5,2
R_3MxpaGMPMtjoKzZ,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2010 18:11,17/03/2010 18:25,1,85,1,1,50,1,4,3,4,3,4,3,3,4,4,4,3,4,1,7,4,5,5,5,3,3,3,3,5,2,2,4,2,4,4,4,3,2,3,6,5,2,4,4,2,3,4,5,2,6,6,6,5,3,3,1,2,5,4,3,3,3,4,2,1,3,5,5,4,5,1,2,1,4,1,5,5,5,5,2,4,4,4,2,18,Vietnamese and German,Psychology,6,2,2,3,1
R_2zr9dt87FODwYzq,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2013 15:45,17/03/2013 15:56,1,86,1,1,70,1,2,1,4,1,5,5,3,4,5,5,4,5,1,7,7,1,1,7,1,5,2,1,7,1,4,1,1,6,1,1,2,1,1,7,1,1,1,4,1,4,1,5,1,7,7,7,7,1,1,1,1,7,4,4,4,4,5,1,1,3,5,5,3,5,5,4,1,1,1,3,5,5,5,1,5,3,5,1,19,Indian,Criminology,10,1,1,1,2
R_1eXFQFkGUxgkwE4,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2013 15:58,17/03/2013 16:41,1,87,1,1,63,1,3,3,2,2,3,3,2,2,1,4,4,4,1,6,6,4,3,5,4,6,4,3,5,6,4,3,4,4,4,4,4,5,4,6,5,4,4,2,3,4,3,5,4,5,3,5,1,4,3,4,4,4,3,3,3,3,3,2,2,3,4,3,4,4,3,2,3,3,3,3,5,3,4,2,4,3,3,2,20,Chinese,Philsophy,,9,9,9,
R_2X54K5t8AJ6U6Nb,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2013 16:47,17/03/2013 16:58,1,88,2,1,50,1,1,1,2,2,4,3,4,3,4,3,4,4,1,5,6,4,2,2,2,4,3,1,5,2,6,4,2,6,5,3,5,2,3,5,4,3,3,4,2,3,4,5,2,5,6,5,5,3,1,3,3,4,4,2,3,2,5,2,1,2,5,4,4,3,4,1,3,2,1,3,3,4,3,2,3,2,4,2,19,Metis,undecided,9,3,2,8,1
R_2eQjv0apxnCRaLF,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2013 17:14,17/03/2013 17:29,1,89,1,1,70,1,4,3,2,3,2,3,4,3,3,4,4,4,1,5,6,5,5,4,4,5,4,4,4,3,3,3,4,5,5,2,3,5,4,4,3,4,6,4,5,4,5,5,5,6,7,7,7,6,2,1,1,4,4,4,3,3,5,4,2,3,4,4,4,3,3,2,3,4,2,3,4,4,4,3,3,3,3,1,20,Indian ,Economics ,1,3,4,4,2
R_26nmjhKM13ZIak3,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2013 17:49,17/03/2013 18:07,1,90,1,1,90,1,2,1,3,4,2,3,2,2,4,3,3,1,1,3,4,1,3,5,6,4,4,1,4,1,1,4,4,2,4,5,1,4,1,4,1,1,3,2,3,1,4,5,3,5,4,5,4,4,2,5,5,4,3,3,2,1,5,2,1,2,5,3,4,5,5,2,2,1,1,3,4,5,4,2,5,2,4,1,20,Chinese,Arts and social sciences,2,8,8,8,1
R_2ExZ99ORv9kZqEL,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2013 18:13,17/03/2013 18:19,1,91,2,1,62,1,1,1,3,3,3,4,4,4,3,3,4,4,1,3,5,4,3,3,3,4,4,3,4,3,4,4,2,5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,5,5,4,3,3,3,4,3,3,3,3,4,2,2,3,3,4,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,1,20,punjabi,kin,7,8,8,8,4
R_1d9W7Rwrjt7ARzS,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2016 10:13,17/03/2016 10:52,1,92,2,1,50,1,3,2,4,3,3,3,3,4,2,3,2,4,1,6,5,3,2,5,3,3,4,2,5,2,4,1,3,6,5,4,4,3,3,6,4,4,5,4,3,3,4,5,3,5,5,5,5,4,3,4,4,4,3,3,4,2,2,2,3,3,2,4,2,3,3,4,4,3,2,3,2,3,2,3,3,2,3,1,20,Asian,Criminology ,3,5,6,4,4
R_2tu0rqmrpR62Tx1,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2016 10:55,17/03/2016 11:23,1,93,2,1,40,1,4,1,4,1,4,3,4,4,4,3,4,3,1,7,4,6,2,5,2,3,6,3,5,5,2,3,4,6,5,2,6,4,5,4,6,4,5,5,3,5,6,5,2,6,5,5,6,3,1,1,2,6,4,4,3,3,3,4,4,4,4,5,3,3,4,4,2,2,2,4,4,4,2,2,2,3,4,1,24,White,engineering,11,3,4,4,2
R_110GZyMckRgccMw,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2016 11:26,17/03/2016 11:48,1,94,1,1,87,1,1,3,3,3,5,5,4,5,4,5,4,4,1,6,6,4,1,3,5,2,3,1,7,5,7,3,2,5,2,2,6,3,5,6,5,1,3,4,5,3,4,,2,6,6,6,6,3,2,2,2,6,4,2,4,2,5,2,3,5,5,5,5,3,2,3,3,2,2,2,4,3,4,2,2,1,2,2,23,Romanian,Education,3,5,6,5,3
R_RaX7jZHWFHMJyGB,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2016 13:25,17/03/2016 13:36,1,95,1,1,60,1,2,1,2,3,3,2,3,4,3,3,2,3,1,6,5,5,5,3,6,3,4,3,3,4,4,3,3,3,2,3,4,2,5,6,4,3,6,4,3,6,4,2,2,6,3,4,5,3,4,3,4,5,3,3,2,3,2,2,3,3,5,4,4,3,3,3,1,2,3,2,3,5,2,4,2,1,3,1,18,Caucasian,Undecided,6,2,2,8,1
R_1OTWBhc9IzBFOXp,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2016 13:40,17/03/2016 13:51,1,96,2,1,50,1,1,1,1,1,4,3,4,4,3,4,4,4,1,6,5,4,2,5,3,3,3,1,6,3,2,4,2,6,4,5,5,2,2,6,2,1,1,2,1,5,2,5,2,6,7,6,6,2,1,1,1,6,4,4,3,3,4,2,2,4,3,4,5,5,4,2,3,5,1,3,4,4,4,3,3,2,3,2,18,chinese ,linguistics ,1,4,4,4,4
R_22LWCCM7NuDsX1l,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2016 14:05,17/03/2016 14:16,1,97,1,1,100,1,2,2,3,3,3,3,4,4,4,4,4,4,1,3,2,5,2,5,6,4,3,2,5,3,3,3,5,5,5,3,5,2,4,5,3,2,5,3,3,5,5,3,2,6,5,6,5,3,2,3,3,3,3,3,4,4,5,1,2,3,4,3,3,5,3,2,2,3,1,4,5,4,5,1,3,2,4,2,18,east indian,criminology,5,6,3,3,3
R_3pfEnYbIT2AtI7p,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2016 14:33,17/03/2016 14:39,1,98,2,1,50,1,4,4,4,4,3,4,4,4,5,5,5,5,1,7,5,6,3,6,2,2,6,4,6,5,4,2,3,7,6,5,4,4,5,5,5,4,5,6,6,6,6,6,4,6,6,6,6,3,1,1,1,7,4,4,4,4,5,3,3,5,5,5,5,5,5,3,3,3,3,5,5,5,5,3,5,5,5,2,19,fijian,criminology,6,4,4,4,1
R_2B2ItioyeiD7QrL,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2016 14:49,17/03/2016 14:57,1,99,2,1,21,1,2,2,2,1,3,3,3,2,5,2,3,4,1,6,3,4,2,3,4,3,4,3,5,3,2,3,3,4,3,4,3,4,3,5,3,4,3,2,3,3,3,3,3,5,5,6,6,4,3,3,3,4,3,4,3,3,3,2,1,2,4,4,4,4,2,3,2,5,1,3,4,4,4,2,3,2,4,2,18,caucasian,business,5,8,8,8,1
R_e5qan63NEEBmGzf,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2017 10:56,17/03/2017 11:17,1,100,2,1,80,1,1,1,2,1,4,4,3,4,4,4,4,4,1,5,6,3,2,6,2,3,2,1,7,2,6,1,1,5,2,5,5,1,5,5,2,2,3,2,1,6,2,3,1,6,7,4,6,1,1,1,1,6,4,3,4,3,5,5,2,4,4,5,5,4,2,1,5,5,1,3,5,4,4,3,1,2,2,2,18,Vietnamese,Psychology,5,2,1,3,1
R_20NkqgDphJK5JS6,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2017 11:20,17/03/2017 12:00,1,101,1,1,50,1,4,3,5,4,5,5,5,5,5,4,5,4,1,6,3,7,2,5,6,1,7,1,6,5,4,1,5,7,4,2,7,1,6,7,2,7,5,2,3,4,5,3,5,6,6,6,6,2,2,5,5,6,3,4,4,4,4,4,5,4,5,4,5,5,5,5,1,4,5,5,4,5,1,1,5,1,4,1,18,Filipino,Psychology,11,6,6,2,3
R_2PzeEk8414uVwG1,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2017 12:03,17/03/2017 12:46,1,102,2,1,50,1,2,2,4,3,,3,3,2,3,3,3,3,1,5,5,3,3,5,4,3,3,1,5,3,4,3,3,4,2,4,3,3,2,4,4,2,5,3,4,3,3,3,2,5,5,6,5,4,2,2,4,4,3,2,2,2,3,2,2,4,3,4,5,4,3,2,4,5,3,3,4,3,4,3,2,3,3,2,21,caucasian,mathematics/chemistry,3,8,8,8,4
R_W0CsvA5GCWHrYOJ,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2017 12:58,17/03/2017 14:22,1,103,2,1,67,1,2,2,2,2,3,4,3,3,3,4,4,4,1,6,5,4,3,5,4,4,5,2,5,2,2,2,3,4,5,4,5,3,3,4,3,3,4,1,2,6,3,5,3,6,6,7,7,2,1,4,3,5,4,4,2,2,5,1,2,2,4,5,3,4,2,2,2,3,2,2,4,4,4,4,4,3,3,2,19,caucasian ,psychology,3,1,1,1,4
R_URBbowEt44GwOwF,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2017 14:38,17/03/2017 14:49,1,104,1,1,70,1,2,2,3,3,2,3,2,2,3,2,3,2,1,5,4,5,3,5,3,3,3,3,5,5,3,3,2,5,4,5,3,3,3,3,3,3,5,4,3,5,5,4,5,5,4,5,4,5,3,4,3,3,3,2,3,3,4,2,2,3,4,4,2,4,3,3,2,2,2,2,4,4,4,2,4,2,4,1,19,Canadian,Economics,7,8,8,8,4
R_3IVPvHVFAXd9Ohg,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2023 9:54,17/03/2023 10:20,1,105,1,1,60,1,4,3,4,3,2,3,2,4,3,5,4,5,1,3,4,4,3,5,1,1,5,4,5,2,4,2,1,5,1,5,4,6,1,2,4,2,5,4,2,4,4,5,4,4,,4,4,1,2,4,4,4,3,3,3,3,5,1,1,1,4,5,3,4,5,1,3,1,1,5,4,5,3,1,4,1,3,2,33,Caucasian/ European,Undecided,,6,4,5,4
R_3JIxaNtPfaJQRsZ,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2023 10:25,17/03/2023 10:45,1,106,2,1,71,1,4,2,4,3,4,4,5,4,4,4,4,4,1,5,6,5,2,5,2,3,4,2,5,4,4,3,3,5,4,3,5,2,4,5,4,2,5,5,1,3,5,2,2,6,6,6,6,4,2,1,2,3,3,3,3,4,5,2,2,3,5,5,4,5,4,1,2,2,1,4,5,5,5,2,4,4,4,2,21,caucasian ,Education,14,6,5,5,1
R_phDqZjp7LBNw1aN,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2023 10:46,17/03/2023 11:18,1,107,1,1,53,1,2,1,2,2,3,4,4,4,,5,5,5,1,5,6,4,2,4,2,2,4,1,5,2,5,2,2,4,3,1,2,6,2,4,3,3,4,2,2,3,3,5,2,6,6,6,6,6,2,2,1,6,4,4,4,4,4,2,2,4,5,5,4,4,2,1,4,4,1,4,4,4,5,2,5,4,4,2,20,caucasian ,psychology,9,2,2,2,1
