V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,placeholder1,placeholder1,pcode,Q22,happy,Q63,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,tol1,tol2,tol3,tol4,tol5,obese1,obese2,obese3,obese4,obese5,obese6,obese7,obese8,obese9,obese10,obese11,obese12,obese13,obese14,obese15,Q89,wealthatt1,wealthatt2,wealthatt3,wealthatt4,finsit1,finsit2,finsit3,finsit4,finsit5,finsit6,finsit7,finsit8,finsit9,finsit10,finsit11,finsit12,finsit13,finsit14,finsit15,crime1,crime2,crime3,crime4,crime5,crime6,crime7,crime8,crime9,crime10,crime11,crime12,causeineq1,causeineq2,causeineq3,causeineq4,causeineq5,causeineq6,causeineq7,causeineq8,causeineq9,causeineq10,causeineq11,causeineq12,causal1,causal2,causal3,causal4,causal5,causal6,redist1,redist2,redist3,redist4,merit1,merit2,merit3,merit4,merit5,merit6,gender,age,ethnicity,major,income,ideology,soc.iss,econ.iss,partyid,time
R_3JKJMPoAzcSjViN,Default Response Set,Anonymous,,,174.7.61.19,0,2017-11-05 16:53,2017-11-05 17:06,1,,,88068,1,90,1,6,2,2,3,4,2,5,2,1,6,3,2,2,2,5,1,3,2,6,2,2,5,3,5,2,2,2,2,6,2,5,3,6,2,2,6,6,4,6,4,3,6,5,6,6,6,5,5,4,5,1,3,4,4,4,7,5,6,4,6,6,5,6,6,3,5,6,2,6,5,5,6,5,5,5,2,2,2,2,3,2,6,4,3,4,4,4,4,4,4,3,4,4,4,2,6,2,2,3,4,4,3,4,3,5,5,5,2,5,2,2,20,Dutch,general social science,15,2,1,3,1,2
R_2EFbC4CjqPtdk0g,Default Response Set,Anonymous,,,207.23.160.9,0,2017-11-07 10:44,2017-11-07 10:52,1,,,72260,1,71,1,5,3,3,6,4,1,4,5,3,5,4,4,4,2,5,3,3,5,2,3,5,3,2,3,4,4,5,4,3,2,5,5,5,4,3,4,4,5,3,4,5,3,3,5,5,3,5,5,5,4,1,2,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,3,5,5,3,5,4,3,4,4,4,4,3,4,4,4,4,4,3,5,4,5,3,4,4,4,4,4,5,5,4,3,4,3,2,18,Caucasian,Criminology ,15,2,2,2,1,2
R_1zx1cbRy98KSxm9,Default Response Set,Anonymous,,,70.79.91.18,0,2017-11-07 10:50,2017-11-07 11:03,1,,,14968,1,70,1,6,5,5,3,5,3,3,6,3,5,3,3,2,2,6,2,5,5,3,3,5,3,5,3,3,2,5,5,3,3,6,6,6,2,2,5,6,5,5,3,3,5,5,5,6,5,5,3,3,5,1,4,4,4,4,5,6,6,5,5,5,5,4,5,4,5,5,3,4,4,6,6,5,6,6,3,3,3,3,5,2,7,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,5,3,3,3,2,3,3,2,2,3,2,2,19,Canadian,Criminology (minor in psychology),15,2,2,2,1,2
R_3plIsW16HJpQql3,Default Response Set,Anonymous,,,207.23.199.78,0,2017-11-07 12:08,2017-11-07 12:42,1,,,41426,1,71,1,5,6,2,1,3,1,3,4,1,7,1,4,1,1,6,5,2,1,6,2,5,1,1,1,1,1,4,1,4,1,7,7,7,2,1,1,2,1,1,1,6,1,1,1,4,1,7,7,6,1,1,3,3,5,4,7,6,4,2,6,5,6,6,4,7,4,4,1,5,4,4,2,2,4,4,5,5,1,1,1,1,5,2,4,3,2,4,4,4,2,2,3,3,4,6,7,4,3,4,2,4,4,3,3,4,5,4,2,3,2,2,18,White Canadian,Psychology,7,1,1,1,1,2
R_2Pp5pPQM6X5dDxx,Default Response Set,Anonymous,,,24.114.44.221,0,2017-11-07 15:26,2017-11-07 15:43,1,,,16203,1,60,1,4,6,4,2,6,4,3,4,2,6,6,4,4,4,6,4,3,2,4,2,4,2,4,2,2,2,2,3,5,2,6,5,6,4,2,5,2,4,3,4,5,2,6,5,5,5,5,5,6,3,1,2,4,4,4,5,7,7,3,5,6,6,4,5,4,5,5,1,4,4,5,3,5,4,5,6,4,2,3,5,2,6,4,3,4,4,4,4,4,4,4,2,4,3,3,4,4,4,4,3,3,4,4,4,6,5,5,5,3,3,2,19,East Asian,Criminology ,7,3,3,3,1,2
R_szlP5djXDIFzaJb,Default Response Set,Anonymous,,,174.1.100.12,0,2017-11-07 18:57,2017-11-07 19:12,1,,,66637,1,88,1,6,4,5,2,3,6,2,6,2,5,3,4,2,2,5,2,4,5,2,1,5,3,2,3,2,5,2,5,5,2,5,5,6,3,2,5,6,3,2,3,4,3,4,6,6,3,5,6,5,4,1,3,5,4,4,6,6,5,5,5,6,6,2,5,6,4,3,2,4,5,5,6,6,5,4,3,2,3,4,6,2,5,2,3,2,4,5,4,5,4,4,4,4,4,4,6,5,2,3,4,4,3,3,3,5,2,5,5,6,6,2,20,Canadian,Psychology,14,8,8,8,1,2
R_W8QL2z2Kt8nvz4l,Default Response Set,Anonymous,,,50.98.153.193,0,2017-11-07 19:35,2017-11-07 19:43,1,,,33748,1,33,1,5,5,2,3,3,5,2,2,2,5,3,4,2,2,5,3,5,2,5,2,5,3,1,3,2,2,3,2,5,2,6,6,6,3,2,,,,,2,,,,,,,,,,,1,3,3,3,4,5,5,5,4,5,5,6,5,4,6,5,6,2,5,4,,,,,,,,,,,,,4,4,5,4,4,3,5,3,4,4,4,4,,,,,,,3,3,3,3,5,5,5,3,6,3,2,18,Caucasian,Behavioural Neuroscience,,2,2,2,1,2
R_1flQBgJzB8Q7oVU,Default Response Set,Anonymous,,,23.16.207.89,0,2017-11-07 21:12,2017-11-07 21:22,1,,,24088,1,50,1,5,6,2,2,4,3,2,2,2,5,2,2,2,2,5,5,3,4,2,3,4,2,1,3,2,4,3,3,3,2,5,4,4,3,3,3,4,2,3,2,3,2,5,2,5,5,4,4,4,3,1,3,3,2,3,6,7,5,6,4,3,3,4,5,4,7,2,1,2,3,5,3,5,5,5,4,4,2,4,4,3,5,1,3,3,1,5,3,2,5,5,5,5,3,3,5,4,4,2,4,3,3,3,3,5,4,6,5,5,5,1,18,Chinese,Criminology,5,2,3,3,2,2
R_2dFjddBW4fHGOpP,Default Response Set,Anonymous,,,108.180.24.172,0,2017-11-07 22:07,2017-11-07 22:42,1,,,99142,1,75,1,5,6,3,3,4,1,3,3,2,4,2,2,2,2,6,2,4,4,1,2,5,3,1,2,2,5,6,3,5,1,6,5,5,4,1,3,5,3,4,4,6,3,4,5,6,4,5,5,3,5,1,2,3,5,4,5,7,5,5,6,5,5,5,7,5,6,5,1,2,4,6,5,6,6,4,6,5,2,6,5,1,6,4,4,4,4,4,4,3,5,5,5,5,4,4,6,2,7,2,4,4,4,4,4,6,4,5,2,4,5,2,18,filipino,psychology,10,6,5,4,2,2
R_vjkvcQCjjnH8CwF,Default Response Set,Anonymous,,,207.23.186.216,0,2017-11-07 23:15,2017-11-07 23:20,1,,,84763,1,50,1,4,3,5,3,5,3,3,5,2,6,2,2,6,6,5,5,5,3,3,7,2,2,2,5,5,3,3,6,6,3,2,2,3,6,6,5,3,5,4,4,4,4,4,5,4,5,4,4,4,2,1,3,4,3,4,6,5,6,6,6,6,6,6,7,6,6,7,6,6,6,3,5,3,4,3,4,4,5,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,5,4,5,3,5,4,3,3,2,3,3,3,3,1,2,3,2,18,caucasian ,Health Science ,1,1,6,5,2,2
R_1hRaWaPhv1M9nQw,Default Response Set,Anonymous,,,207.23.195.109,0,2017-11-02 0:58,2017-11-02 1:04,0,,,54937,1,0,1,6,6,4,3,4,4,2,5,2,6,4,4,2,3,4,3,4,4,5,3,4,2,1,1,2,2,4,2,4,2,4,5,5,3,2,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,1,3,3,3,3,7,7,3,7,5,5,6,5,5,6,5,5,1,5,1,5,5,4,6,4,6,3,2,4,2,1,5,3,4,5,5,5,4,5,4,5,5,5,5,6,5,4,4,1,5,4,3,4,3,2,2,1,1,2,1,2,21,Biracial,Criminology,,2,2,3,1,2
R_3KC5BbexxlmV9gn,Default Response Set,Anonymous,,,66.97.182.108,0,2017-11-10 14:25,2017-11-10 14:37,1,,,42506,1,41,1,4,6,3,3,5,3,2,3,2,5,2,3,2,2,6,2,4,3,2,2,5,1,5,3,1,2,5,3,2,1,5,5,4,3,3,5,2,2,2,1,6,2,2,5,3,3,6,5,6,3,1,2,3,3,4,5,3,4,3,6,5,6,3,5,7,2,7,2,2,2,5,4,5,6,7,6,4,1,2,2,2,5,5,2,5,3,4,4,4,2,2,2,2,2,2,6,3,6,2,4,3,3,2,3,4,2,2,2,2,2,2,19,Caucasian,Communications,9,3,3,4,1,2
R_1GxnGYQ5Hhp8NbL,Default Response Set,Anonymous,,,174.6.153.114,0,2017-11-10 15:25,2017-11-10 15:34,1,,,90507,1,76,1,5,5,3,3,5,3,4,3,3,5,3,3,3,3,4,4,3,3,3,3,5,5,3,4,3,3,5,3,5,3,5,4,5,3,2,5,6,3,5,3,4,5,5,6,6,5,5,5,5,5,1,3,4,4,4,7,6,5,6,6,3,6,5,5,5,6,4,2,4,6,5,5,5,6,5,5,5,4,3,3,4,5,3,3,4,3,4,4,4,4,4,4,4,5,3,6,5,3,2,2,4,4,3,3,6,6,6,3,6,6,2,19,Chinese,Business,8,8,8,8,4,2
R_2f8p6iOez15uQpv,Default Response Set,Anonymous,,,162.156.12.153,0,2017-11-10 15:07,2017-11-10 15:37,1,,,7971,1,88,1,6,4,5,5,4,4,3,5,4,5,2,3,4,2,5,3,4,4,2,3,6,4,1,4,2,3,5,5,5,2,5,6,6,4,2,7,6,6,3,4,4,5,5,6,7,3,4,2,4,6,1,3,2,2,3,7,7,4,5,5,4,4,5,5,4,6,4,2,3,5,5,5,4,4,4,6,4,3,3,2,1,6,3,4,4,2,3,4,4,3,3,3,3,3,6,7,4,4,4,4,4,4,3,3,6,5,6,6,5,2,2,20,caucasian,visual arts,1,8,8,9,4,2
R_29tTPmprONE9tE3,Default Response Set,Anonymous,,,24.87.137.16,0,2017-11-13 14:34,2017-11-13 14:56,1,,,94052,1,25,1,5,3,5,3,4,3,3,4,4,4,4,3,3,4,3,3,3,5,3,4,4,4,3,5,4,3,5,4,5,4,5,5,6,3,1,4,4,5,3,5,5,5,4,5,5,5,5,5,5,5,1,3,4,3,3,5,4,4,5,5,6,5,5,5,5,4,3,3,4,4,4,5,5,5,5,5,5,4,4,4,3,5,2,4,3,5,4,4,4,4,4,4,5,5,5,5,4,4,4,3,4,4,4,3,6,5,5,2,6,6,2,20,chinese,criminology,14,6,6,6,2,2
R_3GwGPbwCc6yMUcz,Default Response Set,Anonymous,,,173.180.78.150,0,2017-11-12 19:22,2017-11-13 18:06,1,,,36335,1,72,1,5,5,5,3,5,3,3,5,3,5,5,3,3,2,5,2,4,5,2,5,6,3,5,3,3,2,5,5,5,3,5,5,5,3,2,6,5,5,5,5,5,3,3,5,5,3,3,3,3,5,1,3,3,4,4,7,7,7,7,5,6,5,5,5,4,5,4,2,5,7,6,6,6,6,6,6,4,4,6,5,3,6,3,4,4,5,5,4,3,5,5,5,5,5,5,6,4,4,2,2,4,4,4,4,6,6,6,4,6,6,2,17,White,Communications,15,3,3,4,1,2
R_3FP5LnP1TU5p9DP,Default Response Set,Anonymous,,,70.79.91.18,0,2017-11-07 11:03,2017-11-07 11:03,0,,,14968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
R_1FewIeVRbSyiSr7,Default Response Set,Anonymous,,,50.98.153.193,0,2017-11-07 19:43,2017-11-07 19:44,0,,,33748,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
R_1hGzSvCIcuEq1ED,Default Response Set,Anonymous,,,208.110.116.166,0,2017-11-15 9:32,2017-11-15 9:42,1,,,39581,1,61,1,7,1,1,1,4,1,1,1,1,6,1,4,1,1,6,1,1,1,1,1,4,1,1,1,1,1,4,1,2,1,7,7,7,1,1,5,5,3,3,2,2,5,5,5,5,2,5,3,3,5,1,2,4,4,4,7,6,6,7,7,7,7,7,6,7,5,7,5,6,6,6,3,1,5,5,5,5,1,1,1,1,5,4,5,5,5,5,5,5,5,5,5,5,5,1,5,1,7,1,4,4,4,4,4,5,3,1,1,1,1,2,26,Caucasian,Criminology,1,1,1,1,1,2
R_2E6qOZcOKNAkBdW,Default Response Set,Anonymous,,,70.71.138.151,0,2017-11-15 9:45,2017-11-15 9:57,1,,,56830,1,40,1,3,3,3,5,5,6,3,5,5,6,3,2,3,2,6,4,6,3,3,5,5,2,2,5,3,6,2,3,3,2,4,4,5,6,5,2,2,2,2,2,5,3,2,2,3,2,5,5,2,2,1,4,4,4,4,4,5,4,5,4,4,3,4,3,3,5,4,4,3,4,5,5,5,5,5,5,3,2,2,4,2,5,3,2,3,3,3,3,2,4,4,4,4,3,2,7,2,7,1,1,4,4,4,4,6,7,6,6,4,6,2,18,Fijian/Muslim,Criminology,12,2,3,3,1,2
R_2Ppcl0S4AKb8DX4,Default Response Set,Anonymous,,,24.80.150.84,0,2017-11-15 10:03,2017-11-15 10:21,1,,,57330,1,70,1,6,2,5,3,5,5,2,5,2,5,5,3,4,2,7,5,3,5,5,5,6,4,2,5,3,5,6,5,7,1,6,5,6,2,6,5,6,1,2,2,5,5,3,5,7,2,6,6,5,3,1,2,5,3,4,7,6,6,5,3,2,4,4,5,7,4,7,1,2,5,4,4,5,5,4,4,6,3,5,7,1,5,3,4,4,1,5,4,5,5,3,4,4,5,4,5,2,5,3,4,4,3,2,2,7,5,7,1,6,7,2,17,indo-canadian,psychology ,12,2,1,2,1,2
R_2aICYOe1m1EhGwM,Default Response Set,Anonymous,,,142.58.132.225,0,2017-11-15 10:27,2017-11-15 10:39,1,,,12250,1,90,1,6,4,3,5,6,4,3,4,3,5,2,2,2,2,5,2,4,3,3,3,5,2,2,4,3,3,4,4,7,2,7,7,7,2,1,6,5,4,2,2,5,3,4,7,5,5,6,6,4,5,1,2,2,2,2,7,7,6,7,6,5,6,4,6,4,6,5,5,5,6,5,7,7,7,5,5,4,2,4,3,2,7,3,4,4,4,4,4,1,5,4,5,5,5,4,7,4,7,4,4,4,4,3,3,6,5,2,2,5,5,2,18,"Filipino, Chinese",Kinesiology ,7,8,8,8,4,2
R_1NxF0llDhxBkgVr,Default Response Set,Anonymous,,,142.58.213.149,0,2017-11-15 10:22,2017-11-15 10:56,1,,,78426,1,70,1,6,6,2,3,7,5,4,2,2,5,2,3,4,2,5,4,6,3,4,2,6,1,4,7,1,5,6,3,5,2,6,5,5,5,2,3,7,2,2,3,5,7,1,2,6,7,5,5,4,1,1,4,5,3,4,7,7,5,5,5,2,6,5,5,7,7,5,1,6,5,7,6,4,6,4,6,2,5,2,3,2,5,4,5,4,5,3,3,4,5,4,5,5,4,2,2,7,1,1,3,3,3,2,2,5,3,2,2,5,5,1,18,Chinese,Chemistry,4,3,2,2,1,2
R_3isV5REzpMhcoQF,Default Response Set,Anonymous,,,207.23.186.174,0,2017-11-15 11:24,2017-11-15 12:12,1,,,24690,1,70,1,6,5,5,3,5,2,2,6,5,4,2,4,2,2,5,3,4,3,4,4,6,5,4,6,5,2,4,5,6,2,5,6,5,4,2,5,5,2,2,2,2,2,6,6,5,5,4,5,5,5,1,4,4,3,4,5,6,5,6,5,5,5,3,3,6,6,4,2,2,1,4,5,5,6,6,5,2,1,5,5,3,6,3,4,5,3,5,4,5,4,2,5,4,4,5,6,3,2,4,4,3,2,3,1,6,5,3,2,4,3,2,17,caucasian ,undecided ,10,3,3,5,1,2
R_OrkmfO6fZ5X4uOd,Default Response Set,Anonymous,,,207.23.188.180,0,2017-11-08 12:12,2017-11-08 12:19,0,,,69911,1,81,1,6,5,5,3,6,3,3,5,2,5,5,3,3,5,4,5,5,3,3,5,5,3,3,2,2,2,2,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,1,21,Vietnamese ,Cognitive science ,5,4,4,4,4,2
R_3R2VLdhdvEP3aig,Default Response Set,Anonymous,,,66.183.98.251,0,2017-11-15 13:18,2017-11-15 13:31,1,,,12812,1,92,1,2,6,5,2,6,1,3,6,2,5,2,3,2,2,7,3,2,2,2,2,3,2,1,3,2,1,6,3,5,1,6,7,6,2,1,6,5,5,3,3,4,5,2,6,6,3,6,5,5,6,1,2,3,4,3,7,6,5,5,6,6,5,4,5,7,4,4,3,3,5,5,6,5,5,3,5,2,2,3,5,3,6,4,3,5,5,4,4,5,2,3,4,2,3,6,6,2,5,2,4,4,4,4,4,5,5,3,1,3,3,2,19,Mixed-Black and White,Faculty of Education,1,2,1,2,1,2
R_1JJHc9RtIADHyy0,Default Response Set,Anonymous,,,24.85.111.99,0,2017-11-15 13:35,2017-11-15 13:46,1,,,24727,1,71,1,6,4,6,3,6,4,5,5,5,6,4,4,3,4,5,4,4,4,4,3,6,4,4,6,2,3,5,6,6,5,5,4,5,4,4,6,7,6,5,5,2,6,6,6,2,3,5,4,4,6,1,5,5,4,3,7,7,7,7,6,6,7,4,6,4,6,6,3,5,7,6,6,6,6,4,6,4,5,4,5,2,6,4,4,4,2,4,4,3,3,4,5,4,5,6,7,2,6,2,4,3,3,3,3,7,6,5,2,6,6,1,20,Canadian/Indian,Criminology,15,3,3,3,1,2
R_3PhI7FW6r0ib029,Default Response Set,Anonymous,,,207.23.185.50,0,2017-11-15 15:57,2017-11-15 16:11,1,,,22317,1,40,1,5,5,3,3,5,4,5,3,3,5,3,4,4,3,2,4,5,5,3,4,5,5,3,5,4,3,4,3,5,3,5,5,5,4,3,6,6,5,5,5,3,6,5,5,5,4,3,3,3,5,1,4,4,4,4,6,7,6,5,5,5,5,4,5,4,7,5,2,6,6,6,7,6,6,4,5,5,4,5,6,5,7,3,4,4,4,4,4,3,5,4,5,4,4,4,6,3,6,3,3,3,3,3,3,6,5,5,4,6,4,2,18,hispanic ,linguistic,10,2,2,2,1,2
R_2sU3i9UWJl7Ifvr,Default Response Set,Anonymous,,,174.6.73.179,0,2017-11-15 18:22,2017-11-15 18:38,1,,,84533,1,51,1,4,4,3,1,7,2,4,4,5,6,3,4,1,2,6,5,5,3,4,1,4,1,2,2,1,2,4,2,2,2,5,4,4,4,3,4,5,1,3,1,6,4,3,5,5,3,6,6,6,5,1,1,3,4,5,7,6,7,5,5,6,7,4,5,5,4,7,5,6,6,5,5,2,7,4,6,2,1,2,2,2,3,5,4,4,4,4,4,4,4,4,4,4,5,7,6,4,7,2,4,3,2,3,2,3,2,2,1,1,2,2,18,,Health Sciences,2,8,8,8,4,2
R_2nrBPmmG7UNEbiV,Default Response Set,Anonymous,,,162.156.183.38,0,2017-11-15 19:23,2017-11-15 19:37,1,,,62346,1,0,1,5,6,5,2,3,5,3,3,1,5,3,4,1,2,6,1,1,3,1,2,5,2,1,4,2,1,3,3,2,1,7,7,7,1,1,2,2,1,1,1,6,1,1,2,5,1,3,2,3,5,1,1,1,2,2,5,7,7,7,6,5,5,6,7,7,2,2,2,2,5,6,6,6,6,5,6,3,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,5,7,5,3,2,2,4,4,3,3,5,2,2,1,2,1,2,18,"Scottish Ukrainian, Italian, Aboriginal ",Psychology,8,3,3,5,1,2
R_SZtit3mnMCxt7X3,Default Response Set,Anonymous,,,96.55.31.122,0,2017-11-15 23:42,2017-11-15 23:52,1,,,32594,1,70,1,5,5,4,3,4,3,4,2,4,5,4,4,4,2,5,4,4,4,3,2,4,2,2,2,2,2,2,2,5,2,5,5,5,4,3,4,4,2,3,2,3,2,6,3,2,7,2,5,3,2,1,3,3,3,3,4,6,4,6,4,5,6,4,4,5,4,5,5,6,4,5,2,2,4,4,4,4,2,2,4,2,6,4,5,3,4,4,4,4,4,3,4,4,4,4,6,4,4,2,4,3,3,3,3,4,4,2,2,2,2,1,18,chinese,health sciences,11,3,3,3,1,2
R_2PjlHbuEc5QI4Ed,Default Response Set,Anonymous,,,45.58.27.54,0,2017-11-16 1:28,2017-11-16 2:03,1,,,91435,1,50,1,5,2,5,2,4,2,3,4,2,5,4,3,2,4,6,3,2,3,3,5,5,3,4,5,5,2,4,4,2,3,6,2,6,3,1,5,5,5,5,4,3,4,5,4,5,4,4,5,5,5,1,3,3,4,4,6,4,5,5,3,4,4,5,5,2,6,4,3,4,5,5,5,5,6,4,4,2,2,2,3,5,4,3,4,4,3,4,3,2,4,4,4,4,4,3,3,4,6,4,4,4,3,4,3,5,5,3,2,5,4,2,20,South Korean,Psychology,15,8,8,8,1,2
R_1F9PhKldQMxySQK,Default Response Set,Anonymous,,,184.65.220.134,0,2017-11-17 10:56,2017-11-17 11:04,1,,,74887,1,51,1,4,6,4,2,4,2,3,4,2,5,4,4,2,2,5,4,4,5,3,4,4,2,2,4,4,2,4,4,2,2,5,4,6,4,2,5,4,4,2,3,4,4,4,4,5,4,5,5,5,5,1,3,3,3,4,5,5,5,4,4,5,5,5,5,6,5,6,4,6,4,6,4,5,5,4,4,4,4,3,4,3,5,5,4,3,4,3,4,4,3,3,2,2,3,1,5,2,1,3,3,4,4,2,2,5,4,3,2,2,3,2,18,Canadian,Psychology,3,8,8,8,1,2
R_3lzZRexpXTonHpH,Default Response Set,Anonymous,,,154.20.112.131,0,2017-11-17 11:40,2017-11-17 11:54,1,,,42613,1,90,1,6,5,5,2,3,2,3,6,3,5,3,3,2,3,6,2,3,5,2,5,6,5,2,3,3,2,6,5,7,3,7,7,6,3,2,4,5,3,2,1,6,1,2,6,5,3,6,6,5,3,1,5,5,2,4,7,7,6,6,4,7,5,6,5,6,4,5,3,2,3,5,6,4,6,6,3,3,2,3,3,2,5,3,4,4,2,5,4,4,5,4,5,5,5,4,7,3,7,1,5,3,3,3,2,7,6,6,1,5,4,2,19,Irish and Filipino ,Health Sciences,9,3,2,5,1,2
R_RqaKwNFyj46LJmx,Default Response Set,Anonymous,,,174.7.55.127,0,2017-11-10 12:11,2017-11-10 12:16,0,,,26684,1,90,1,6,6,5,2,3,5,4,4,2,7,3,5,4,2,6,3,5,6,5,2,6,2,2,3,5,2,2,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
R_2vcvhqaIu4Wayy1,Default Response Set,Anonymous,,,207.194.248.83,0,2017-11-17 19:50,2017-11-17 20:11,1,,,72165,1,84,1,7,3,5,6,5,6,2,5,3,6,2,6,2,4,2,6,4,6,5,6,6,2,2,3,5,7,6,2,2,2,5,5,3,3,2,6,6,4,5,4,2,5,4,6,6,6,4,3,5,7,1,2,3,4,4,5,5,5,4,4,5,5,5,4,4,4,5,3,4,5,5,5,6,5,3,2,4,3,4,4,2,5,3,4,3,3,4,4,4,4,4,4,3,4,1,7,2,6,2,3,3,4,4,4,6,7,5,3,6,6,2,18,Indian,Psychology ,3,2,1,4,1,2
R_11ZVTQjeEI7vu0G,Default Response Set,Anonymous,,,70.69.103.20,0,2017-11-18 16:07,2017-11-18 16:18,1,,,90875,1,92,1,2,1,6,2,6,2,2,5,2,6,2,6,2,2,5,5,1,4,3,5,5,2,2,2,6,1,5,6,5,1,6,5,6,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,2,4,2,3,2,3,6,5,3,2,3,3,1,20,,,,,,,,2
R_1nW2fRfWoZ4y6VA,Default Response Set,Anonymous,,,96.48.208.24,0,2017-11-18 23:52,2017-11-19 0:02,1,,,89755,1,60,1,5,6,3,1,6,1,1,5,2,6,4,4,1,3,6,2,4,4,1,4,5,4,2,3,2,1,4,3,4,2,7,7,7,2,1,5,4,2,3,1,5,2,3,6,5,4,5,5,5,3,1,2,2,5,4,4,3,3,2,6,6,6,6,2,7,3,6,3,6,2,7,3,3,5,5,5,3,2,2,2,2,6,3,3,5,5,4,5,5,3,3,3,3,3,3,4,3,4,2,2,4,4,3,3,3,3,2,2,2,2,2,20,caucasian,criminology,15,1,1,1,1,2
R_1QcHVw8I1LLCf9g,Default Response Set,Anonymous,,,142.58.219.78,0,2017-11-12 19:24,2017-11-12 19:24,0,,,19172,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
R_UFlqfwuF9kN2W8V,Default Response Set,Anonymous,,,50.67.230.58,0,2017-11-21 9:02,2017-11-21 9:12,1,,,85944,1,65,1,6,4,4,3,6,4,4,4,3,5,3,4,2,4,6,4,4,4,3,4,4,3,1,4,5,3,4,4,4,2,6,5,6,4,1,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,1,3,3,3,3,5,5,5,4,5,5,5,5,4,6,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,5,5,5,4,4,4,5,4,5,5,5,4,4,4,4,4,3,3,6,5,2,2,4,4,2,19,,,,2,2,2,1,2
R_DOH4vg6R0vkhKCd,Default Response Set,Anonymous,,,174.1.166.70,0,2017-11-21 9:14,2017-11-21 9:24,1,,,90812,1,51,1,5,4,6,2,3,2,6,6,4,5,4,3,2,2,2,5,4,4,6,4,5,5,2,5,5,6,6,5,5,2,2,2,1,6,5,5,6,4,1,1,5,1,2,5,5,4,7,4,6,4,1,5,5,3,2,7,7,7,7,1,7,3,1,1,1,6,3,2,2,5,4,6,5,1,1,2,1,3,5,5,4,5,2,1,1,2,5,3,2,5,4,5,5,4,5,4,3,5,4,3,2,1,1,1,7,7,7,7,6,7,2,20,caucasian,Behavioural Neuroscience,15,5,5,7,2,2
R_2PbqNRreMntqwHs,Default Response Set,Anonymous,,,207.23.181.180,0,2017-11-21 10:07,2017-11-21 10:14,1,,,31889,1,71,1,5,5,6,6,5,6,3,4,2,5,4,4,4,4,5,5,4,5,3,3,5,5,4,3,5,4,4,5,5,5,5,5,6,5,3,4,7,4,4,5,3,4,4,5,4,3,5,5,3,5,1,3,3,3,3,5,6,5,5,5,2,5,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,3,3,4,4,2,2,2,2,4,7,7,7,1,1,1,3,3,3,3,5,5,7,3,4,3,2,21,pakistani,kinesiology,7,2,2,5,1,2
