V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q22,Q74_1,Q63,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q21,Q24,Q26,Q27,Q28,Q216_1,Q216_2,Q216_6,Q216_7,Q216_12,Q216_13,Q216_15,Q216_17,Q216_22,Q216_24,Q216_30,Q216_34,Q216_35,Q216_36,Q216_37,Q217,Q218_1,Q218_2,Q218_3,Q218_4,Q219_1,Q219_2,Q219_3,Q219_4,Q219_5,Q219_6,Q219_7,Q219_8,Q219_9,Q219_10,Q219_11,Q219_12,Q219_13,Q219_14,Q219_15,Q220_1,Q220_2,Q220_3,Q220_4,Q220_5,Q220_6,Q220_7,Q220_8,Q220_9,Q220_10,Q220_11,Q220_13,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Q59_6,Q59_7,Q59_8,Q59_9,Q59_10,Q59_11,Q59_12,Q23_1,Q23_2,Q23_3,Q23_4,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Q60_6,Q222_1,Q222_2,Q222_3,Q222_4,Q222_5,Q222_6,Q65,Q67,Q69,Q75,Q71,Q72,Q73,Q74,Q75,Q59,LocationLatitude,LocationLongitude,LocationAccuracy,
R_3rO1pqIEvQOVh9I,Default Response Set,Anonymous,,,108.63.59.124,0,2017-10-21 14:21:00,2017-10-21 14:29:00,1,30786,1,50,1,4,5,4,5,4,5,4,4,4,5,4,4,4,3,3,4,5,4,3,4,4,4,4,3,4,6,4,4,5,3,5,4,4,4,2,5,5,4,5,3,4,6,6,4,5,6,3,3,2,5,1,3,4,3,4,5,6,5,4,4,6,4,4,4,4,5,5,2,3,5,6,6,5,5,4,5,3,2,4,3,1,4,3,4,3,3,4,3,4,4,4,5,5,5,3,3,2,2,6,6,5,5,4,4,5,6,5,6,3,4,2,18,chinese,criminology,,8,8,8,4,1,49.15510559082,-122.91239929199,-1,
R_zdOpPBsjIqQAqY1,Default Response Set,Anonymous,,,64.180.236.111,0,2017-10-21 16:03:02,2017-10-21 16:23:05,1,62673,1,21,1,5,6,3,6,5,5,2,3,2,6,3,3,2,2,5,3,3,3,2,3,5,3,2,3,2,5,3,3,5,2,5,5,5,3,2,3,5,2,2,3,5,3,5,3,5,5,5,5,5,5,1,2,4,4,4,5,5,7,3,6,5,5,3,4,6,4,5,4,5,6,3,3,5,5,5,6,3,2,2,3,2,5,4,4,4,4,4,5,3,4,4,3,3,5,3,3,2,2,2,2,3,3,3,3,6,6,5,5,4,4,1,18,White,Computer Science,8,3,2,6,1,1,49.236602783203,-122.85209655762,-1,
R_2aWBCJgdwSLbWt9,Default Response Set,Anonymous,,,142.58.174.88,0,2017-10-24 09:44:02,2017-10-24 09:54:52,1,66061,1,58,1,4,5,3,3,3,3,2,4,2,4,4,3,2,3,5,2,3,3,2,3,4,3,2,3,1,2,4,3,2,2,5,6,5,3,2,6,3,5,2,4,2,5,3,6,4,3,4,5,2,6,1,2,3,4,4,5,7,6,5,4,5,5,4,4,4,6,5,3,5,5,6,5,6,4,4,3,3,2,4,5,4,4,4,3,4,4,4,3,4,5,5,4,5,4,4,3,4,3,5,5,4,3,3,4,4,6,4,6,3,4,2,19,Caucasian,Kinesiology,15,3,2,3,3,1,49.264007568359,-122.93690490723,-1,
R_2ysH1BVqETUthTa,Default Response Set,Anonymous,,,207.23.160.61,0,2017-10-24 10:27:19,2017-10-24 11:35:14,1,47510,1,72,1,5,6,2,2,5,2,2,4,3,6,2,4,2,2,6,4,5,2,2,2,5,2,2,3,2,1,4,2,5,2,5,6,6,2,1,5,5,4,3,3,6,2,2,4,6,3,6,6,5,5,1,2,4,4,5,4,6,6,5,6,6,7,5,5,7,6,7,2,7,6,7,5,4,5,6,6,4,2,3,5,3,7,3,4,5,5,4,4,5,3,4,3,3,4,4,4,3,4,5,5,1,1,2,2,5,6,3,4,2,2,2,20,Caucasian,Behavioural Neuroscience,8,2,1,3,1,1,49.264007568359,-122.93690490723,-1,
R_1EX8WEniYqFFArB,Default Response Set,Anonymous,,,70.69.67.235,0,2017-10-24 11:35:45,2017-10-24 11:50:24,1,23295,1,81,1,5,2,6,3,5,2,4,4,3,5,4,4,5,5,6,2,5,4,1,4,5,5,4,5,4,5,4,5,4,4,6,7,6,3,1,5,4,4,4,4,5,5,4,5,3,3,6,5,6,5,1,3,4,3,4,6,6,6,6,6,6,5,4,5,7,5,4,3,3,5,3,7,5,5,5,5,3,5,4,5,3,5,4,5,4,4,4,3,5,4,3,4,4,3,4,2,4,1,6,5,6,1,3,6,5,6,3,4,3,4,2,18,black/white,psyc/crim joint major ,2,3,2,4,1,1,49.243606567383,-122.78649902344,-1,
R_10IrcuuNb6EGmIb,Default Response Set,Anonymous,,,199.7.159.10,0,2017-10-24 12:55:27,2017-10-24 12:59:15,1,16585,1,63,1,3,4,5,5,3,6,2,2,4,6,3,6,7,7,2,5,5,3,7,5,7,7,6,5,5,6,6,4,4,3,5,6,5,5,3,5,5,5,4,5,2,3,3,1,3,4,3,7,4,3,1,1,3,3,4,4,5,5,3,4,6,4,5,4,4,2,5,7,5,5,6,2,5,5,4,6,2,4,3,4,4,4,3,4,3,4,3,4,3,3,3,4,3,3,3,3,3,3,3,4,5,4,5,5,4,2,5,5,4,3,1,21,Indian,Health Sciences ,8,4,4,4,4,2,53.550003051758,-113.5,-1,
R_YYX8DFBbzbxn5Bf,Default Response Set,Anonymous,,,66.183.50.79,0,2017-10-17 12:08:21,2017-10-17 13:12:23,0,98002,1,92,1,7,6,5,2,5,2,3,5,3,6,3,2,2,2,6,2,6,5,2,2,7,5,3,5,5,2,6,5,6,2,6,7,7,2,1,5,6,5,5,3,5,6,6,5,6,6,5,6,5,2,1,4,5,4,5,7,7,7,5,7,5,7,5,7,7,5,7,2,5,5,5,6,7,6,6,6,6,2,2,2,3,5,5,3,5,5,5,5,5,5,5,5,5,5,4,4,4,4,6,6,5,3,6,3,7,5,7,7,3,3,2,19,Chinese,Health Science,15,5,5,5,3,,,,-1,
R_xDwxBW5fvaafax3,Default Response Set,Anonymous,,,207.23.166.71,0,2017-10-24 14:13:26,2017-10-24 14:26:49,1,29889,1,87,1,6,2,6,1,5,2,3,6,5,7,4,3,2,5,6,3,6,5,2,5,6,2,5,5,2,2,6,5,2,2,6,6,2,3,1,6,7,1,6,1,7,6,5,7,6,6,2,1,3,5,1,5,5,5,5,7,7,7,7,6,7,7,1,5,3,7,7,1,7,7,6,7,5,7,3,6,2,3,5,5,5,7,4,5,5,5,4,4,3,2,2,2,2,2,4,4,2,1,6,6,6,6,3,2,2,2,4,5,2,5,1,18,White,Business Administration,8,5,3,3,3,1,49.264007568359,-122.93690490723,-1,
R_24M2af2z5sum1G2,Default Response Set,Anonymous,,,207.23.173.213,0,2017-10-24 15:45:59,2017-10-24 16:19:15,1,65978,1,35,1,5,4,4,3,3,3,3,4,3,3,4,2,2,4,5,4,3,4,5,4,4,4,2,5,3,3,6,4,5,4,5,4,5,4,2,5,5,3,3,4,3,5,5,5,5,3,5,4,5,5,1,3,5,4,4,6,6,5,4,5,4,5,4,5,4,4,5,4,5,5,6,4,3,4,3,4,4,3,4,5,3,5,3,3,4,3,4,4,3,4,4,4,4,5,3,3,3,2,5,5,3,3,5,4,3,5,2,6,3,4,2,19,Filipino,Transferring to a Psychology Major,8,4,4,4,4,1,49.264007568359,-122.93690490723,-1,
R_3Pi9Y7pADJGQDUs,Default Response Set,Anonymous,,,206.116.64.18,0,2017-10-24 18:59:57,2017-10-24 19:04:42,1,67816,1,10,1,7,7,5,5,5,5,5,5,5,6,4,4,4,4,6,5,6,3,6,5,6,6,5,5,4,6,4,5,6,5,6,6,6,5,4,6,7,6,5,2,4,2,5,6,3,3,6,6,7,6,1,5,5,5,4,7,7,7,7,7,7,7,5,2,7,6,7,7,7,7,7,7,6,7,5,6,7,7,2,3,2,4,5,5,4,4,4,5,4,5,5,5,5,5,4,4,4,4,7,6,7,7,7,7,6,7,6,3,2,4,2,19,North Indian,Behavioural Neruoscience,10,8,8,8,4,1,49.141006469727,-122.85690307617,-1,
R_2Tz4BT5gGNyLPG5,Default Response Set,Anonymous,,,66.183.107.174,0,2017-10-24 21:13:07,2017-10-24 21:27:03,1,39002,1,40,1,5,3,6,5,5,5,5,6,4,3,5,3,2,4,5,3,6,5,5,3,6,5,4,5,5,3,5,5,5,3,5,5,5,4,3,6,5,3,2,3,6,5,5,3,6,5,6,6,6,6,1,4,4,4,4,7,7,7,6,7,6,6,7,7,7,7,6,7,7,7,6,6,7,6,4,5,5,4,6,6,6,7,5,5,3,5,4,5,5,5,5,5,5,5,3,3,3,3,5,6,5,5,5,5,5,7,3,6,5,3,2,18,South Asian,Biology,8,8,8,8,3,1,49.13639831543,-122.82130432129,-1,
R_31BhkRkDSJ3dN2x,Default Response Set,Anonymous,,,24.207.66.191,0,2017-10-17 21:24:10,2017-10-17 21:37:39,0,54530,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_338tlozYuFSRixi,Default Response Set,Anonymous,,,173.180.171.151,0,2017-10-24 21:30:55,2017-10-24 21:52:19,1,71497,1,72,1,5,5,4,2,4,2,3,4,3,4,4,3,3,4,6,3,4,4,2,4,5,5,4,4,5,3,5,4,5,3,5,5,5,3,2,6,5,4,3,3,4,5,3,4,5,3,6,6,6,5,1,3,3,3,3,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,6,4,5,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,4,4,3,4,3,4,4,4,4,4,4,2,21,Chinese/Japanese,Business,5,2,2,8,1,1,49.18359375,-123.11679840088,-1,
R_3Ja5N1t9DMxRUNH,Default Response Set,Anonymous,,,64.180.230.88,0,2017-10-24 23:15:14,2017-10-24 23:36:36,1,6725,1,35,1,4,6,4,3,4,5,5,4,5,3,2,3,4,2,5,5,3,2,4,5,5,5,1,4,3,3,6,4,5,5,6,5,6,6,4,4,5,5,4,4,4,4,5,4,4,4,5,5,5,5,1,4,3,4,4,6,7,4,1,4,3,5,1,4,4,4,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,5,5,1,1,5,4,3,1,3,3,5,5,4,3,3,2,3,7,7,4,5,7,6,4,7,4,1,1,1,2,18,chinese,psychology,2,5,5,5,2,1,49.264007568359,-122.93690490723,-1,
R_UuK74JMFpUwP58B,Default Response Set,Anonymous,,,70.36.58.212,0,2017-10-25 00:13:39,2017-10-25 00:25:23,1,3088,1,0,1,5,5,4,1,5,2,1,2,4,3,3,1,1,1,6,1,5,5,2,1,5,6,1,5,1,1,6,3,3,1,5,1,3,4,2,6,5,4,5,3,5,2,6,6,4,6,5,1,5,5,1,4,3,4,5,6,7,7,7,6,5,6,2,5,6,4,5,1,2,5,7,5,5,6,6,5,1,1,1,1,1,7,4,2,2,4,4,4,2,4,4,5,4,4,4,3,2,2,2,2,7,6,3,5,1,6,6,5,1,6,1,18,german/canadian white,psych/crim,2,2,5,5,1,1,49.29899597168,-123.14080047607,-1,
R_bjYSLGGMfcmqOnD,Default Response Set,Anonymous,,,142.58.174.104,0,2017-10-25 12:07:23,2017-10-25 12:30:43,1, 35080,1,69,1,7,7,5,3,6,3,3,5,1,7,2,4,1,1,6,2,5,5,2,2,6,2,2,2,5,4,4,4,2,1,7,7,7,1,1,5,4,4,3,4,7,2,4,4,5,1,7,6,7,5,1,3,4,4,4,7,4,5,5,6,4,6,4,4,5,5,5,3,5,6,6,6,4,7,5,7,4,2,5,6,3,5,5,3,5,3,4,4,4,5,4,3,4,4,4,4,4,4,5,5,4,3,5,5,5,7,3,6,4,4,2,22,Latina,SIAT,10,2,2,2,3,1,49.264007568359,-122.93690490723,-1,
R_3e2Fw4WHi0HHHQe,Default Response Set,Anonymous,,,209.121.163.166,0,2017-10-25 15:02:23,2017-10-25 15:10:47,1,33550,1,49,1,4,4,5,1,3,2,1,3,2,5,1,2,2,2,3,2,5,2,1,2,2,1,3,2,1,1,2,1,5,1,7,4,7,5,1,2,2,2,2,1,4,1,2,2,4,4,4,3,4,2,1,2,4,3,5,6,7,5,4,4,5,7,4,4,2,3,4,2,3,5,5,7,6,5,4,4,4,3,5,5,3,4,4,3,4,3,4,4,3,5,3,5,5,3,4,4,4,4,5,2,4,6,4,3,1,1,2,7,2,3,2,21,Asian,General Studies,2,8,8,8,4,1,49.18359375,-123.11679840088,-1,
R_3p9is5gl50PXons,Default Response Set,Anonymous,,,24.86.87.144,0,2017-10-25 18:25:40,2017-10-25 18:39:42,1,51741,1,70,1,6,5,4,4,4,5,4,4,4,4,4,4,3,3,5,5,6,4,4,4,4,4,4,4,4,3,5,4,5,4,5,4,4,4,4,5,5,3,4,4,3,4,5,5,5,5,4,4,4,5,1,3,4,3,4,7,7,7,7,5,7,5,4,6,4,7,4,1,1,5,5,5,4,5,4,4,3,3,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,2,6,6,4,4,5,4,5,7,5,5,6,4,1,,,,,3,3,3,1,1,49.279495239258,-123.06669616699,-1,
R_1OOEQx2Bb7CUPov,Default Response Set,Anonymous,,,162.156.182.103,0,2017-10-25 21:05:23,2017-10-25 21:17:47,1,27921,1,65,1,6,6,2,2,6,1,3,3,2,7,2,5,2,3,6,1,5,3,3,3,5,2,1,2,3,2,3,3,7,2,5,7,5,2,1,2,5,2,2,2,2,6,6,2,6,5,5,2,3,2,1,2,2,4,4,5,5,6,2,6,5,7,4,4,6,2,7,1,2,4,5,5,5,7,7,6,5,1,2,2,1,5,4,2,5,4,2,4,4,2,3,3,4,2,4,3,2,2,4,2,1,2,5,1,3,6,5,6,4,4,1,20,Canadian/white,Criminology/psychology joint major,9,2,2,3,1,1,49.219604492188,-122.61640167236,-1,
R_1Kdl38tltyeJwcW,Default Response Set,Anonymous,,,64.180.52.106,0,2017-10-27 17:50:01,2017-10-27 18:02:05,1,27564,1,78,1,3,5,4,2,4,2,1,4,1,6,1,4,1,1,1,2,4,5,2,4,3,1,1,1,1,1,4,1,4,1,5,5,6,2,2,1,1,1,1,1,4,1,1,1,4,4,5,3,4,1,1,3,3,3,3,7,7,4,5,4,5,1,4,7,5,5,1,1,3,3,5,5,3,6,4,5,5,1,1,1,1,3,1,3,5,3,5,5,1,5,5,5,5,5,4,4,4,4,5,6,4,1,5,4,2,2,5,2,4,4,2,21,Euro-Middle Eastern,Psych,1,2,2,5,1,1,49.141006469727,-122.85690307617,-1,
R_2YCUahbUHX8q9Z3,Default Response Set,Anonymous,,,96.48.213.61,0,2017-10-27 18:27:18,2017-10-27 18:43:01,1,99897,1,80,1,6,6,3,3,5,2,3,2,2,6,2,4,3,2,5,3,5,2,5,2,5,2,2,4,4,3,5,2,5,2,6,6,6,3,2,4,2,2,2,2,5,2,2,3,5,3,5,4,5,5,1,3,3,4,4,5,3,3,3,4,5,5,3,4,4,4,3,3,4,3,4,5,5,5,5,5,5,3,3,3,2,4,3,4,4,3,3,4,3,3,3,3,4,4,4,3,3,3,5,4,2,3,3,4,3,5,4,4,2,2,2,20,White,Arch,6,2,2,3,3,1,49.128494262695,-122.62359619141,-1,
R_2ylSgpN5YKaZNCO,Default Response Set,Anonymous,,,24.80.152.54,0,2017-10-27 19:50:04,2017-10-27 19:55:05,1,72295,1,50,1,4,4,4,3,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,5,2,4,4,4,4,4,3,4,2,4,5,4,3,5,4,3,3,3,4,4,4,1,3,2,3,3,3,4,5,4,4,4,4,4,4,5,4,3,3,4,4,4,4,5,3,4,3,5,4,5,3,3,3,3,3,4,3,3,4,3,3,3,3,2,2,2,2,2,2,4,4,3,4,4,4,6,4,4,5,4,4,2,18,Chinese,psychology,6,6,6,8,2,2,49.227203369141,-122.95739746094,-1,
R_2BrnZtDew075dgB,Default Response Set,Anonymous,,,108.172.180.191,0,2017-10-28 11:18:47,2017-10-28 11:28:35,1,52088,1,20,1,3,3,5,5,6,3,3,5,2,5,6,5,2,5,5,3,3,5,2,5,3,5,5,5,5,2,3,4,6,5,6,3,3,5,4,5,5,3,3,3,4,4,5,4,5,3,5,3,6,5,1,4,4,3,4,5,6,6,5,4,5,3,3,4,3,5,4,2,5,4,5,5,4,5,5,6,6,5,5,5,3,3,4,3,2,3,3,4,2,3,4,5,4,4,3,2,3,2,3,5,5,4,5,4,2,6,6,4,2,2,1,18,South Asian ,Biological Sciences ,9,3,3,4,1,1,49.0791015625,-122.7552947998,-1,
R_ZCQsXlpMOvsUHFn,Default Response Set,Anonymous,,,24.85.215.65,0,2017-10-21 18:25:36,2017-10-21 18:26:29,0,44719,1,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2AQAQHhfRB5ZOXV,Default Response Set,Anonymous,,,184.65.161.95,0,2017-10-31 09:05:47,2017-10-31 09:14:05,1,28525,1,90,1,5,4,4,2,4,2,4,4,2,6,4,4,2,4,6,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,5,5,5,4,3,6,5,6,6,5,2,5,6,6,5,5,5,6,4,6,1,4,4,3,4,6,7,4,7,6,6,7,3,4,5,4,3,2,3,6,6,6,6,5,4,5,3,4,4,4,2,7,3,4,4,5,4,5,5,5,3,5,4,5,3,3,3,3,5,4,5,5,5,5,3,3,3,3,3,3,1,19,Indo-Canadian ,Criminology,15,4,2,3,1,1,49.170700073242,-122.73260498047,-1,
R_1jjFc65Q6qAQt8R,Default Response Set,Anonymous,,,23.16.74.245,0,2017-10-31 09:00:36,2017-10-31 09:18:01,1,6742,1,55,1,6,5,6,2,5,2,5,5,3,5,6,2,1,3,7,6,2,3,4,5,6,3,1,2,4,1,6,4,5,3,5,5,5,4,1,6,6,5,3,4,2,5,6,6,6,6,3,3,2,7,1,3,4,4,4,7,6,5,7,5,5,7,2,4,4,6,6,3,5,5,6,5,3,5,2,3,1,3,3,3,2,7,5,3,3,4,4,2,3,3,4,4,4,4,4,3,3,2,6,6,3,5,5,1,3,6,3,5,3,4,1,18,Pakistani ,Criminology ,1,2,2,3,1,1,49.274002075195,-123.0074005127,-1,
R_2DUdG8DG7NEi8gq,Default Response Set,Anonymous,,,70.71.220.221,0,2017-10-31 10:22:19,2017-10-31 10:37:02,1,10875,1,35,1,5,2,3,4,5,5,2,3,3,5,4,4,2,3,3,3,4,3,3,3,5,2,2,3,3,3,4,3,5,2,5,5,5,3,3,5,4,3,2,3,5,3,3,5,5,3,5,4,4,5,1,2,2,4,4,7,5,6,6,5,5,3,5,5,4,5,5,4,5,5,5,3,2,3,5,5,4,2,2,3,2,5,4,4,5,4,3,4,4,2,2,2,2,2,3,4,3,3,5,4,5,3,3,3,5,6,5,6,4,4,1,19,South Asian,Biology,7,2,2,3,1,1,49.189407348633,-122.84539794922,-1,
R_3qWDAMwmCYNhVoj,Default Response Set,Anonymous,,,199.119.235.236,0,2017-10-31 10:36:33,2017-10-31 10:50:44,1,16543,1,70,1,5,6,3,3,5,4,4,3,4,5,4,5,3,3,5,5,3,4,4,5,5,3,3,5,4,3,5,3,5,4,3,4,4,5,4,5,5,3,4,3,2,6,4,5,5,5,5,5,2,5,1,4,4,4,4,7,5,5,5,5,6,5,4,5,4,5,6,5,6,5,6,5,4,4,3,3,2,3,4,3,4,5,4,4,3,4,4,4,2,4,4,4,4,5,3,2,3,2,5,5,6,6,6,6,5,6,5,3,3,4,1,19,Caucasian,English,6,4,2,5,1,1,53.550003051758,-113.5,-1,
R_3RpEVdRo9znU9MB,Default Response Set,Anonymous,,,207.23.180.177,0,2017-10-31 10:49:52,2017-10-31 10:53:03,1,58302,1,100,1,3,5,2,2,5,6,7,7,4,4,5,5,4,4,7,4,5,3,5,5,6,7,5,6,5,5,5,5,4,4,5,6,5,7,6,5,2,2,2,4,3,5,2,4,2,2,3,4,4,4,1,3,2,3,3,4,2,3,2,4,4,3,3,1,2,2,3,2,3,3,6,6,6,3,4,4,3,2,5,5,3,6,4,2,3,4,4,4,4,3,4,4,2,4,2,2,2,3,3,5,3,4,1,4,4,3,3,5,4,5,2,20,White,Health sciences ,4,1,1,1,1,1,49.264007568359,-122.93690490723,-1,
R_12zjDPi6MrxHVvl,Default Response Set,Anonymous,,,142.58.113.170,0,2017-10-31 10:55:04,2017-10-31 11:07:11,1,83946,1,71,1,3,3,5,3,4,2,3,4,2,4,4,3,2,2,5,3,4,3,3,5,3,2,4,5,4,2,4,5,4,2,6,6,6,2,2,6,6,6,6,6,2,6,6,6,6,6,3,5,2,6,1,2,3,4,3,5,6,5,2,5,5,2,5,2,5,5,2,2,5,3,6,6,5,5,5,2,4,2,4,6,3,6,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,5,5,2,4,6,2,6,3,2,2,6,2,2,20,Italian,Business,13,2,2,2,1,1,49.264007568359,-122.93690490723,-1,
R_2VrbjAtfZ7yNezB,Default Response Set,Anonymous,,,142.58.113.187,0,2017-10-31 11:48:09,2017-10-31 11:59:32,1,85255,1,61,1,6,5,4,2,6,2,4,6,1,6,2,2,4,1,6,4,4,6,5,2,6,1,1,1,1,7,2,2,4,1,6,6,6,2,2,5,1,1,1,1,7,1,2,7,3,1,6,4,7,5,1,4,4,4,5,5,7,6,4,6,6,6,6,6,5,7,6,6,6,6,6,4,2,6,6,6,6,2,2,2,2,3,4,4,5,4,5,4,3,5,5,5,5,4,3,3,4,4,6,5,1,1,4,1,7,1,2,4,7,7,2,20,Pakistani,Health Sciences,3,2,3,4,1,1,49.264007568359,-122.93690490723,-1,
R_1MYfwM76ldQIiTc,Default Response Set,Anonymous,,,70.69.125.197,0,2017-10-31 12:03:02,2017-10-31 12:28:40,1,9917,1,51,1,6,5,3,5,5,6,3,4,3,6,4,2,2,4,7,4,4,4,3,2,5,1,3,4,2,3,6,4,4,5,4,4,5,4,5,5,6,2,4,2,3,7,5,2,6,6,6,6,5,3,1,3,4,4,5,7,7,2,6,6,4,6,1,6,4,7,6,2,4,7,3,5,2,5,4,5,2,3,4,4,1,3,4,5,3,5,3,5,2,5,5,5,4,4,4,2,3,3,4,4,4,5,4,6,4,4,4,4,4,4,1,21,Korean,Cognitive Science,6,8,8,8,4,1,49.221206665039,-122.68960571289,-1,
R_33rUgehFRPeM1UB,Default Response Set,Anonymous,,,207.23.223.48,0,2017-10-31 12:37:35,2017-10-31 12:46:52,1,22175,1,65,1,6,3,5,6,3,6,6,5,6,3,5,3,3,6,5,6,2,3,7,5,5,6,6,7,3,6,5,5,7,6,1,1,1,6,7,5,7,5,5,3,2,6,7,5,7,7,3,3,1,5,1,4,4,2,2,6,7,6,7,5,5,5,4,3,3,6,5,3,5,5,5,6,2,3,5,1,1,5,6,6,2,5,3,3,2,1,4,4,1,5,5,5,5,4,2,2,2,3,7,7,7,7,7,7,5,7,6,5,5,5,1,23,Indo-Canadian,Economics,15,5,2,7,2,1,49.264007568359,-122.93690490723,-1,
R_3lxFaD3Zzw2fome,Default Response Set,Anonymous,,,207.23.173.4,0,2017-10-31 13:23:52,2017-10-31 13:38:09,1,81854,1,70,1,5,2,2,3,5,2,3,2,2,5,3,4,2,2,5,3,4,3,2,3,3,3,3,5,4,3,5,2,4,2,6,5,5,3,2,4,3,2,4,2,3,3,5,5,5,4,3,4,3,6,1,2,3,4,4,6,6,4,4,5,5,5,3,4,5,4,5,3,4,4,4,5,4,5,4,5,3,2,2,3,2,4,4,3,4,3,4,4,3,4,4,3,4,5,4,4,3,3,6,5,5,4,5,4,4,6,3,2,3,4,2,18,Chinese,Economics,5,3,3,2,1,1,49.264007568359,-122.93690490723,-1,
R_2ATPyYHE2UXnZiZ,Default Response Set,Anonymous,,,72.143.232.220,0,2017-10-31 13:37:58,2017-10-31 13:55:19,1,88673,1,75,1,5,5,5,2,6,6,3,5,5,6,4,3,2,4,6,4,5,3,6,2,6,5,5,5,2,2,4,3,6,2,6,4,2,4,2,5,3,2,2,2,6,3,4,6,5,5,6,7,5,3,1,3,4,4,4,3,5,4,3,5,5,6,2,4,4,5,6,1,7,3,6,6,6,6,5,6,5,4,6,5,4,4,5,3,3,4,4,4,4,3,3,3,2,2,3,3,3,2,5,6,3,2,3,3,5,6,5,2,3,3,2,19,Chinese,Business Administration,8,9,9,9,4,1,49.25,-123.13330078125,-1,
R_1ovYajSRjCOxFBC,Default Response Set,Anonymous,,,207.23.177.85,0,2017-10-31 13:37:01,2017-10-31 14:07:14,1,32552,1,68,1,5,4,5,4,5,3,5,4,5,5,5,4,4,2,3,4,4,4,4,2,5,5,3,5,2,6,5,5,7,3,6,6,5,4,3,6,7,6,5,3,5,5,6,6,5,6,5,5,6,7,1,4,4,3,4,6,6,6,6,6,6,6,4,6,6,6,6,3,4,5,5,5,5,5,5,5,5,6,5,5,3,5,3,5,5,5,5,5,4,4,4,5,4,5,3,3,3,3,6,5,5,5,5,5,5,4,2,4,2,2,3,19,Canadian,Criminology,15,7,6,5,2,1,49.264007568359,-122.93690490723,-1,
R_2S7c97WXzTAmaqt,Default Response Set,Anonymous,,,24.87.68.111,0,2017-10-31 14:21:13,2017-10-31 14:37:28,1,2715,1,50,1,3,4,3,4,5,4,4,3,4,4,3,3,4,3,5,4,4,4,4,3,3,4,3,5,5,6,5,5,3,3,4,4,4,5,4,5,5,2,3,2,3,5,5,5,4,4,4,5,4,4,1,3,3,3,4,5,4,4,4,5,4,4,5,5,4,5,4,2,3,5,5,6,5,4,4,5,3,3,5,4,2,6,3,4,4,4,4,4,4,3,3,3,3,2,3,2,2,2,4,4,5,5,5,5,3,5,3,5,3,4,2,18,asian,criminology,1,8,8,8,2,1,49.169998168945,-123.13679504395,-1,
R_skdRNS9nZJglOp3,Default Response Set,Anonymous,,,207.23.171.215,0,2017-10-31 12:35:28,2017-10-31 15:06:05,1,27425,1,88,1,2,1,3,1,5,1,1,1,2,6,2,2,1,1,7,1,5,5,1,2,1,1,1,3,2,1,3,5,1,1,7,7,7,1,1,5,1,1,1,1,7,1,2,5,6,2,7,7,7,2,1,3,2,2,4,5,4,1,3,4,4,4,5,4,7,1,5,2,2,4,5,3,6,6,7,7,6,1,2,2,1,2,3,5,5,3,3,3,5,3,3,3,3,5,4,4,4,4,3,2,1,1,2,2,3,4,4,4,1,4,2,18,Persian/Moroccan,Psychology,1,1,1,1,1,1,49.264007568359,-122.93690490723,-1,
R_ByRT8ZQEpHFK3hD,Default Response Set,Anonymous,,,204.239.8.50,0,2017-10-31 16:46:41,2017-10-31 16:50:33,1,41344,1,60,1,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,1,3,3,3,3,4,5,5,5,4,4,5,6,5,5,5,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,3,4,4,3,3,2,2,3,4,4,4,4,4,4,5,5,5,5,5,6,1,20,korean,computing science,8,3,9,9,4,1,49.315994262695,-123.05760192871,-1,
